ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Datum,State,Location,Altitude,Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos
J410,A-D,5,97,Eucalyptus crebra,7/04/2016,,-29.69687,152.10593,,NSW,"Old Grafton Rd, Gibraltar",483,sandstone,sand-gravel,E,J.Janes,Common,,,Present,J410
J411,,1,98,Eucalyptus fibrosa,7/04/2016,,-29.69674,152.10576,,NSW,"Old Grafton Rd, Gibraltar",465,sandstone,sand-gravel,E,J.Janes,Rare,,,,J411
J412,A-D,5,101,Eucalyptus moluccana,16/06/2016,,-30.96459,150.84267,,NSW,"Appleby Rd, Moonbi",261,basalt,clay-sand,SE,J.Janes,Common,Present,Present,Present,J412
J413,A-I,10,102,Eucalyptus albens,16/06/2016,H may be moluccana,-30.70737,150.09621,,NSW,Boggabri - private land,261,basalt,clay-sand,E,J.Janes,common,Present,Present,Present,J413
J414,A-D,5,103,Eucalyptus albens,16/06/2016,D may be microcarpa,-30.49283,149.94203,,NSW,Narrabri,235,basalt,clay-sand,E,J.Janes,Common,,,Present,J414
J415,A-D,5,104,Eucalyptus crebra,17/06/2016,,-30.24,149.88559,,NSW,"Killarney Forest, Narrabri",278,basalt,clay-sand,,J.Janes,Common,,,,J415
J416,A-I,10,105,Eucalyptus sideroxylon,17/06/2016,,-30.32322,149.26971,,NSW,Weewaa,183,granite/gilgai,sand,SW,J.Janes,Common,Present,Present,Present,J416
J417,A,2,99,Eucalyptus crebra,17/06/2016,,-30.32377,149.26567,,NSW,Weewaa,181,granite/gilgai,sand,,J.Janes,Common,Present,Present,Present,J417
J418,A-I,10,106,Eucalyptus sideroxylon,17/06/2016,,-31.05012,149.23013,,NSW,The Pilliga,387,basalt,sand-clay,NE,J.Janes,Common,,,Present,J418
J419,A-I,10,100,Eucalyptus albens,23/06/2016,,-31.35926,148.93951,,NSW,Warrumbungle,502,basalt,clay-loam,NE,J.Janes,Common,,,Present,J419
J420,A-D,5,,Eucalyptus moluccana,23/06/2016,,-31.35926,148.93951,,NSW,Warrumbungle,502,basalt,clay-loam,NE,J.Janes,Common,,,Present,J420
J421,A-I,10,107,Eucalyptus sideroxylon,23/06/2016,,-32.36597,148.23103,,NSW,Narromine,270,basalt,sand-rock,E,J.Janes,Rare,,,Present,J421
J422,A-I,10,108,Eucalyptus sideroxylon,24/06/2016,,-32.22311,148.66797,,NSW,Dubbo,344,basalt,sand-rock,SW,J.Janes,Common,,,Present,J422
J423,A-I,10,109,Eucalyptus moluccana,24/06/2016,,-31.82373,149.68475,,NSW,Coolah,653,granite,rocky-clay,SE,J.Janes,Common,Present,,Present,J423
J424,A-I,10,110,Eucalyptus albens,24/06/2016,"G may be moluccana, C may be microcarpa",-31.71111,150.6998,,NSW,Ardglen,434,granite,sand-gravel,SW,J.Janes,Common,Present,,Present,J424
J425,A-I,10,111,Eucalyptus sideroxylon,9/07/2016,very big fruit,-30.30756,151.20671,,NSW,Bundarra,663,granite,sand-clay,W,J.Janes,Common,,,Present,J425
J426,A-I,10,112,Eucalyptus albens,9/07/2016,Had small fruit but urn shaped and disc depressed - Reps D/H/E/G/F/I may be microcarpa,-30.30846,151.20667,,NSW,Bundarra,697,granite,sand-clay,W,J.Janes,Common,,,Present,J426
J427,A-D,5,113,Eucalyptus caleyi,9/07/2016,,-30.36709,151.25757,,NSW,Bundarra,759,granite,rock-sand,SE,J.Janes,Common,,,Present,J427
J428,A-I,10,114,Eucalyptus albens,9/07/2016,some look more moluccana,-29.6731,151.15315,,NSW,Inverell,631,granite,clay-loam,NE,J.Janes,Common,,,Present,J428
J429,A-I,10,115,Eucalyptus albens,9/07/2016,,-28.77243,151.21523,,QLD,Texas ,356,granite,sand-clay,SE,J.Janes,Common,,,,J429
J430,A-I,10,116,Eucalyptus sideroxylon,10/07/2016,D has pink flowers,-28.56925,151.07571,,QLD,Inglewood,303,basalt,sand-gravel,SE,J.Janes,Common,Present,Present,Present,J430
J431,A-D,5,117,Eucalyptus crebra,10/07/2016,,-28.56955,151.07539,,QLD,Inglewood,304,basalt,sand-gravel,SE,J.Janes,Common,Present,Present,Present,J431
J432,A,2,118,Eucalyptus fibrosa,10/07/2016,,-28.18033,151.66934,,QLD,Glendon,539,basalt,clay-sand,SE,J.Janes,Common,Present,,Present,J432
J433,A-I,10,119,Eucalyptus sideroxylon,10/07/2016,,-28.17577,151.6577,,QLD,Glendon,520,basalt,rock-loam,,J.Janes,Rare,Present,,Present,J433
J434,A-B,3,120,Eucalyptus sideroxylon,10/07/2016,very big fruit,-27.7547,152.1189,,QLD,Allora,499,granite,rock-loam,SE,J.Janes,Rare,,,Present,J434
J435,A-I,10,121,Eucalyptus sideroxylon,10/07/2016,,-26.36944,151.88103,,QLD,Wondai,382,Granite/Basalt,rock-clay,SE,J.Janes,Common,Present,,Present,J435
J436,A-I,10,122,Eucalyptus albens (?),11/07/2016,may be moluccana,-27.18896,151.73259,,QLD,Kulpi,517,granite,clay-loam,NE,J.Janes,Common,Present,Present,Present,J436
J437,,1,123,Eucalyptus sideroxylon x melliodora (?),28/11/2016,,-30.27552,151.18698,WGS84,NSW,"Bundarra, Thunderbolts Way",711,Granite,sand,SW,"J.Janes, T.Collins",Rare,Present,,Present,J437
J438,,1,124,Eucalyptus sideroxylon x melliodora (?),28/11/2016,,-30.27563,151.18764,WGS84,NSW,"Bundarra, Thunderbolts Way",,Granite,sand,SW,"J.Janes, T.Collins",Rare,,,Present,
NAL05,,1,,Eucalyptus microcarpa,16/10/2013,,-32.3742,147.4871,,NSW,"Melrose-Trangie Rd, Albert Murrumbidgee NP",,,,,R.Jordan,,,,,J372
NBJ30,,1,,Eucalyptus microcarpa,18/11/2013,,-35.05268,147.0439,,NSW,Berry Jerry State Forest,,,,,R.Jordan,,,,,J373
NCD30,,1,,Eucalyptus microcarpa,17/11/2013,,-32.89835,147.05836,,NSW,Condobolin,,,,,R.Jordan,,,,,
NCR13,,1,,Eucalyptus microcarpa,15/11/2013,,-34.08362,148.51941,,NSW,Crowther,,,,,R.Jordan,,,,,J374
NCR37,,1,,Eucalyptus microcarpa,15/11/2013,,-34.08949,148.51412,,NSW,Crowther,,,,,R.Jordan,,,,,
NDU10,,1,,Eucalyptus microcarpa,15/10/2013,,-32.32624,148.51287,,NSW,Dubbo,,,,,R.Jordan,,,,,
NE10467,,1,,Eucalyptus porosa,10/11/1960,,,,,SA,Lake  Eyre,,,,,DE.Symon,,,,,J437
NE25923,,1,,Eucalyptus woollsiana,5/09/1972,,,,,QLD,Maranoa,,,,,NCW.Beadle,,,,,
NE25953,,1,,Eucalyptus porosa,2/11/1972,,,,,SA,Eyre Peninsula,,,,,NCW.Beadle,,,,,J438
NE35955,,1,,Eucalyptus porosa,4/11/1972,,,,,SA,Coonalpyn,,,,,NCW.Beadle,,,,,
NE35959,,1,,Eucalyptus porosa,4/11/1972,,,,,SA,Murray,,,,,NCW.Beadle,,,,,
NE36811,,1,,Eucalyptus odorata ,14/01/1964,,,,,SA,Hall Creek Road,,,,,TRN.Lothian,,,,,
NE37169,,1,,Eucalyptus odorata ,11/06/1960,,,,,SA,Alligator Creek,,,,,DE.Symon,,,,,
NE37647,,1,,Eucalyptus woollsiana,11/09/1978,,,,,NSW,Narrabri,,,,,JB.Williams,,,,,
NE4583,,1,,Eucalyptus woollsiana,1/10/1958,,,,,NSW,Gilgandra,,,,,RT.Baker,,,,,
NE67754,,1,,Eucalyptus odorata ,27/08/1994,,,,,SA,Sandland Road,,,,,RJ.Bates,,,,,
NE90535,,1,,Eucalyptus woollsiana,25/10/2006,,,,,QLD,Inglewood,,,,,PI.Forster,,,,,
RA1006,,1,,Eucalyptus albens,,,,,,,Bundarra Rd,,,,,,,,,,
RA1007,,1,,Eucalyptus albens,,,,,,,Bundarra Rd,,,,,,,,,,
TLC715,,,,Eucalyptus conica,,,-28.68758,151.96238,,QLD,Storm King,,,,,T.Collins,,,,,
TLC720,,,,Eucalyptus conica,,,-29.06569,151.98833,,NSW,Tenterfield ,,,,,T.Collins,,,,,
TLC725,,,,Eucalyptus conica,,,-29.60563,151.86797,,NSW,Dundee,,,,,T.Collins,,,,,
TLC726,,,,Eucalyptus conica,,,-30.28358,151.19619,,NSW,Abington,,,,,T.Collins,,,,,
TLC775,,,,Eucalyptus conica,,,-28.39502,151.31197,,QLD,Inglewood ,,,,,T.Collins,,,,,
VMA01,MEL2375659A,1,,Eucalyptus microcarpa,28/10/2013,,-36.77474,141.81787,,VIC,Mt Arapiles State Park,,,,,W.A.Gebert,,,,,
VMA18,MEL2375667A,1,,Eucalyptus microcarpa,28/10/2013,,-36.77474,141.82599,,VIC,Mt Arapiles State Park,,,,,W.A.Gebert,,,,,
VMA30,MEL2375669A,1,,Eucalyptus microcarpa,28/10/2013,,-36.77254,141.82553,,VIC,Mt Arapiles State Park,,,,,W.A.Gebert,,,,,
VWG14,,1,,Eucalyptus microcarpa,3/12/2013,,-37.67129,144.36256,,VIC,Werribee Gorge State Park,,,,,R.Jordan,,,,,
