ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Datum,State,Location,Altitude,Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos
J320,A-E,6,8,Eucalyptus moluccana,11/10/2015,,-31.72257,151.10243,WGS84,NSW,"Timor, Crawney Rd",486,Mudstone,clay-sand,W,J.Janes,Common,,,Present,J320
J321,B-G,7,9,Eucalyptus crebra,12/10/2015,,-32.75326,151.25224,WGS84,NSW,"Polkobin, Broke Rd",109,Mudstone,clay ,,J.Janes,Common,,,,J321
J322,A-E,6,10,Eucalyptus fibrosa,12/10/2015,,-32.75342,151.25269,WGS84,NSW,"Polkobin, Broke Rd",110,Mudstone,clay ,,J.Janes,Common,,,,J322
J323,A,2,11,Eucalyptus largiflorens (?),12/10/2015,,-32.40498,150.36256,WGS84,NSW,"Wollomi NP, Bylong Valley Way",117,Granite,loam-sand,W,J.Janes,Rare,Present,,,J323
J324,A-E,6,12,Eucalyptus conica,12/10/2015,,-32.44442,150.2812,WGS84,NSW,"Wollomi NP, Bylong Valley Way",213,Granite,loam-sand,E,J.Janes,Common,,,,J324
J325,,,,Eucalyptus baueriana,12/10/2015,,-32.49536,150.90842,WGS84,NSW,"Jerrys Plains, Golden Hwy",110,Basalt/Mudstone,clay-loam,N,J.Janes,Rare,,,,J325
J326,A-D,5,13,Eucalyptus moluccana,3/11/2015,,-28.21744,152.84309,WGS84,QLD,"Rathdowney, Boonah Rathdowney Rd",103,Mudstone,clay-loam,,J.Janes,Common,,Present,Present,J326
J326 - Recollect,A-E,6,13,Eucalyptus moluccana,9/12/2016,,-28.21744,152.84309,WGS84,QLD,"Rathdowney, Boonah Rathdowney Rd",103,Mudstone,clay-loam,,"J.Janes, T.Collins",Common,,Present,Present,J326
J327,A-D,5,14,Eucalyptus crebra,3/11/2015,,-28.45172,152.3925,WGS84,NSW,"Koreelah, Tooloom Rd",533,Granite,loam,N,J.Janes,Common,Present,,Present,J327
J328,A-D,5,15,Eucalyptus moluccana,3/11/2015,,-28.43038,152.35915,WGS84,NSW,"Legume, Mt Lindsay Rd",480,Granite,clay,SW,J.Janes,Common,,,Present,J328
J329,A-C,4,16,Eucalyptus conica,3/11/2015,,-28.41028,152.29292,WGS84,NSW,"Legume, Mt Lindsay Rd",564,Granite,sand,S,J.Janes,Common,Present,,Present,J329
J330,A-D,5,17,Eucalyptus fibrosa,4/11/2015,,-28.19138,151.61853,WGS84,QLD,"Karara, Cunningham Hwy",525,Basalt,sand,N,J.Janes,Common,,,Present,J330
J331,A-D,5,19,Eucalyptus crebra,4/11/2015,,-28.29549,151.48801,WGS84,QLD,"Gore, Cunningham Hwy",510,granite/sandstone,sand-clay,SW,J.Janes,Common,Present,,Present,J331
J332,A-D,5,18,Eucalyptus microcarpa (?),4/11/2015,,-28.29549,151.48801,WGS84,QLD,"Gore, Cunningham Hwy",510,granite/sandstone,sand-clay,SW,J.Janes,Common,,,Present,J332
J332 - Recollect,A-E,6,18,Eucalyptus microcarpa (?),9/12/2016,,-28.29549,151.48801,WGS84,QLD,"Gore, Cunningham Hwy",510,granite/sandstone,sand-clay,SW,"J.Janes, T.Collins",Common,,,Present,J332
J333,A-D,5,20,Eucalyptus caleyi,4/11/2015,,-28.52431,151.10556,WGS84,QLD,"Inglewood, Inglewood Texas Rd",340,granite/sandstone,sand-clay,NE,J.Janes,Common,,,Present,J333
J334,A-D,5,21,Eucalyptus moluccana (?),4/11/2015,,-28.53696,151.10815,WGS84,QLD,"Inglewood, Inglewood Texas Rd",335,granite/sandstone,sand-clay,E,J.Janes,Common,,,Present,J334
J335,A-D,5,22,Eucalyptus microcarpa,4/11/2015,,-28.89198,151.14803,WGS84,NSW,"Texas, Texas Bridge Road",334,Sandstone,clay-sand,,J.Janes,Common,Present,Present,Present,J335
J336,,,,Eucalyptus conica,4/11/2015,,-29.10132,151.77156,WGS84,NSW,"Mole Creek, Mole Station rd",435,Sandstone,clay-sand,,J.Janes,Common,Present,Present,,J336
J337,,,,DISCARDED,,,,,,,,,,,,,,,,,
J338,A-D,5,23,Eucalyptus conica,5/11/2015,,-29.15425,152.00211,WGS84,NSW,"Tenterfield, Bluff rock lookout",854,Granite,loam-clay,SW,J.Janes,Common,Present,Present,Present,J338
J339,A-C,4,24,Eucalyptus moluccana,5/11/2015,,-29.45636,151.55505,WGS84,NSW,"Emmaville, Strathbogie Rd",873,Granite,clay-loam,S,J.Janes,Common,,,Present,J339
J339 - Recollect,A-E,6,24,Eucalyptus moluccana,28/11/2016,,-29.45636,151.55505,WGS84,NSW,"Emmaville, Strathbogie Rd",873,Granite,clay-loam,S,"J.Janes, T.Collins",Common,,,Present,J339
J340,A-D,5,25,Eucalyptus melliodora,5/11/2015,,-29.45577,151.55405,WGS84,NSW,"Emmaville, Strathbogie Rd",874,Granite,clay-loam,S,J.Janes,Common,Present,Present,Present,J340
J340 - Recollect,A-D,5,25,Eucalyptus melliodora,28/11/2016,,-29.45577,151.55405,WGS84,NSW,"Emmaville, Strathbogie Rd",874,Granite,clay-loam,S,"J.Janes, T.Collins",Common,Present,Present,Present,J340
J341,A-D,5,26,Eucalyptus albens,5/11/2015,,-29.40223,151.41655,WGS84,NSW,"Yellow Dam, Emmaville Rd",770,Granite,sand,W,J.Janes,Common,,,Present,J341
J342,A-D,5,27,Eucalyptus sideroxylon,5/11/2015,,-29.39087,151.39279,WGS84,NSW,"Yellow Dam, Emmaville Rd",734,Granite,sand,S,J.Janes,Common,Present,Present,Present,J342
J342 - Recollect,A-D,5,27,Eucalyptus sideroxylon,28/11/2016,,-29.39087,151.39279,WGS84,NSW,"Yellow Dam, Emmaville Rd",734,Granite,sand,S,"J.Janes, T.Collins",Common,Present,Present,Present,J342
J343,A-D,5,28,Eucalyptus crebra,5/11/2015,,-29.35816,151.30991,WGS84,NSW,"Yellow Dam, Emmaville Rd",642,Granite/mudstone,clay,N,J.Janes,Common,Present,,Present,J343
J344,A-D,5,29,Eucalyptus polyanthemos,19/11/2015,,-35.33962,148.91113,WGS84,ACT,"Pierces Creek State Forest, Vanitys Crossing",640,Granite,hard red,N,J.Janes,Common,,,Present,J344
J345,A-D,5,30,Eucalyptus albens,20/11/2015,,-35.07022,148.83685,WGS84,NSW,"Mullion, Mountain Creek Rd.",,Sandstone/Limestone,Rocky shale,,J.Janes,Common,,,Present,J345
