Collection,Tree,,,,,,hddd.dddd,,ddd mm ss,,,,,,,,,,,,,,,,,,,,,,
ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Latitude,Longitude,Datum,State,Location,Altitude (m),Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species
J313,,1,,Eucalyptus fibrosa,2015-09-30,Apparently missing from herbarium,-30.60224,149.58173,"-30°36'08.0640""","149°34'54.2280""",WGS84,NSW,"Pilliga, Newell Hwy",303,Basalt,Sand,,J.Janes,Common,Present,,Present,J313,Zieria aspalathoides,Boronia sp,Acacia sp,Spyridium sp,,,,
J314,,1,,Eucalyptus fibrosa,2015-09-30,,-30.92855,149.36347,"-30°55'42.7800""","149°21'48.4920""",WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,Common,Present,,,J314,Zieria aspalathoides,Boronia sp,Acacia sp,Spyridium sp,,,,
J315,,1,,Eucalyptus fibrosa,2015-09-30,repeat of J314 (should have been collected as J314A),-30.92855,149.36347,"-30°55'42.7800""","149°21'48.4920""",WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,Common,Present,,,J315,Zieria aspalathoides,Boronia sp,Acacia sp,Spyridium sp,,,,
J316,,1,,Eucalyptus crebra,2015-09-30,,-30.92855,149.36347,"-30°55'42.7800""","149°21'48.4920""",WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,rare,Present,,,J316,Zieria aspalathoides,Boronia sp,Acacia sp,Spyridium sp,,,,
J317,,1,,Eucalyptus crebra,2015-09-30,,-30.14459,150.05340,"-30°08'40.5240""","150°03'12.2400""",WGS84,NSW,"Sawn Rocks, parking lot",485,Basalt,Sand,W,J.Janes,Rare,,,Present,,,,,,,,,
J318,A-E,6,006,Eucalyptus melliodora,2015-10-11,,-31.37365,151.13779,"-31°22'25.1400""","151°08'16.0440""",WGS84,NSW,"Chaffey Dam, Tamworth Nundle Rd",532,,loam,W,J.Janes,Common,Present,Present,,J318,Eucalyptus camaldulensis,Geranium sp,Whalenbergia stricta,Acaena sp,Plantago sp,Asperula sp,,
J319,A-E,6,007,Eucalyptus melliodora,2015-10-11,,-31.55948,151.05664,"-31°33'34.1280""","151°03'23.9040""",WGS84,NSW,"Nundle, Crawney Rd",751,,sand,NNE,J.Janes,Common,Present,Present,Present,J319,Eucalyptus camaldulensis,grasses,,,,,,
J320,A-E,6,008,Eucalyptus moluccana,2015-10-11,,-31.72257,151.10243,"-31°43'21.2520""","151°06'08.7480""",WGS84,NSW,"Timor, Crawney Rd",486,Mudstone,clay-sand,W,J.Janes,Common,,,Present,J320,Roadside,,,,,,,
J321,B-G,7,009,Eucalyptus crebra,2015-10-12,Used J321G in sequencing,-32.75326,151.25224,"-32°45'11.7360""","151°15'08.0640""",WGS84,NSW,"Polkobin, Broke Rd",109,Mudstone,clay ,,J.Janes,Common,,,,J321,Corymbia sp,Allocasuarina sp,Pultonaea sp,Busaria spinosa,Acacia sp,,,
J322,A-E,6,010,Eucalyptus fibrosa,2015-10-12,,-32.75342,151.25269,"-32°45'12.3120""","151°15'09.6840""",WGS84,NSW,"Polkobin, Broke Rd",110,Mudstone,clay ,,J.Janes,Common,,,,J322,Corymbia sp,Allocasuarina sp,Pultonaea sp,Busaria spinosa,Acacia sp,,,
