indiv,state,location,sp.short,species,ser.short,series,stampy,bwa
418,NSW,Pilliga,sider,sideroxylon,mellio,melliodorae,yes,yes
421,NSW,Narromine,sider,sideroxylon,mellio,melliodorae,yes,yes
422,NSW,Dubbo,sider,sideroxylon,mellio,melliodorae,yes,yes
362_young,NSW,Nangar,sider,sideroxylon,mellio,melliodorae,yes,yes
353b,NSW,Blue Metal,sidXmic,sideroxylonXmicrocarpa,mellio,melliodorae,yes,yes
367i,NSW,Uralla,sidXmol,sideroxylonXmoluccana,mellio,melliodorae,yes,yes
392,VIC,Puckapanyl,tri,tricarpa,mellio,melliodorae,yes,yes
333,QLD,Inglewood,cal,caleyi,rhodox,rhodoxylon,yes,yes
368,NSW,Kingstown,cal,caleyi,rhodox,rhodoxylon,yes,yes
369,NSW,Bundarra,cal,caleyi,rhodox,rhodoxylon,yes,yes
427,NSW,Bundarra,cal,caleyi,rhodox,rhodoxylon,yes,yes
333a,QLD,Inglewood,cal,caleyi,rhodox,rhodoxylon,yes, yes
427a,NSW,Bundarra,cal,caleyi,rhodox,rhodoxylon,yes,yes
307,NSW,Narrabri,creb,crebra,sider,siderophloiae,yes,yes
316,NSW,Pilliga,creb,crebra,sider,siderophloiae,yes,yes
317,NSW,Sawn Rocks,creb,crebra,sider,siderophloiae,yes,yes
327,NSW,Koreelah,creb,crebra,sider,siderophloiae,yes,yes
331,QLD,Gore,creb,crebra,sider,siderophloiae,yes,yes
343,NSW,Yellow Dam,creb,crebra,sider,siderophloiae,yes,yes
417,NSW,Weewaa,creb,crebra,sider,siderophloiae,yes,yes
431,NSW,Inglewood,creb,crebra,sider,siderophloiae,yes,yes
321g,NSW,Polkobin,creb,crebra,sider,siderophloiae,yes,yes
311,NSW,Pilliga,fib,fibrosa,sider,siderophloiae,yes,yes
315,NSW,Pilliga,fib,fibrosa,sider,siderophloiae,yes,yes
322,NSW,Polkobin,fib,fibrosa,sider,siderophloiae,yes,yes
330,QLD,Karara,fib,fibrosa,sider,siderophloiae,yes,yes
366,NSW,Gardens of Stone,fib,fibrosa,sider,siderophloiae,yes,yes
370,NSW,Stroud,fib,fibrosa,sider,siderophloiae,yes,yes
371,NSW,Wards River,fib,fibrosa,sider,siderophloiae,yes,yes
432,NSW,Glendon,fib,fibrosa,sider,siderophloiae,yes,yes
