"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"J304","J304",,1,"NA","albens","Eucalyptus albens","2015-09-30","repeat of J302 (should have been collected as J302B)",-30.14391,150.05293,"WGS84","NSW","Sawn Rocks, Kilarney Gap Rd",482,"Basalt","Sand","SE","J.Janes","Common","Present","Present",,,"Clematis microphylla;Acacia sp;Swainsonia sp;;;;;;"
"J305","J305",,1,"NA","pilligaensis","Eucalyptus pilligaensis","2015-09-30",,-30.13395,149.48317,"WGS84","NSW","Narrabri, Newell Hwy",240,"Basalt","Sand",,"J.Janes","Rare","Present",,,,"Roadside;;;;;;;;"
"J307","J307",,1,"NA","crebra","Eucalyptus crebra ?","2015-09-30",,-30.22665,149.8094,"WGS84","NSW","Narrabri, Newell Hwy",240,"Basalt","Sand",,"J.Janes","Rare","Present",,,,"Roadside;;;;;;;;"
"J308","J308",,1,"NA","populnea","Eucalyptus populnea","2015-09-30",,-30.22025,149.83597,"WGS84","NSW","Narrabri, Killarney Forest",258,"Basalt","Sand","W","J.Janes","Common","Present",,,,";;;;;;;;"
"J310","J310",,1,"NA","populnea","Eucalyptus populnea","2015-09-30","repeat of J308 (should have been collected as J308A)",-30.22025,149.83597,"WGS84","NSW","Narrabri, Killarney Forest",258,"Basalt","Sand","W","J.Janes","Common","Present",,,"J310",";;;;;;;;"
"J311","J311",,1,5,"fibrosa","Eucalyptus fibrosa ?","2015-09-30",,-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand",,"J.Janes","Common","Present",,"Present","J311","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J312","J312",,1,"NA","sideroxylon","Eucalyptus sideroxylon","2015-09-30",,-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand",,"J.Janes","Common","Present",,"Present","J312","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J313","J313",,1,"NA","fibrosa","Eucalyptus fibrosa","2015-09-30","Apparently missing from herbarium",-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand",,"J.Janes","Common","Present",,"Present","J313","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J314","J314",,1,"NA","fibrosa","Eucalyptus fibrosa","2015-09-30",,-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand",,"J.Janes","Common","Present",,,"J314","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J315","J315",,1,"NA","fibrosa","Eucalyptus fibrosa","2015-09-30","repeat of J314 (should have been collected as J314A)",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand",,"J.Janes","Common","Present",,,"J315","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
