"site.id","sub.ids","other.ids","total.num.samples","tag.num","species.field","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"FDK01",,"MEL2375684A",1,,"Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.32987,145.70606,,"VIC","Dookie (private property)",,,,,"W.A.Gebert",,,,,,";;;;;;;;"
"FDK10",,"MEL2375685A",1,,"Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.33119,145.70688,,"VIC","Dookie (private property)",,,,,"W.A.Gebert",,,,,,";;;;;;;;"
"FDK20",,"MEL2375686A",1,,"Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.33002,145.70534,,"VIC","Dookie (private property)",,,,,"W.A.Gebert",,,,,,";;;;;;;;"
"FHH02",,,1,,"Eucalyptus microcarpa","2013-12-04","Voucher with Rebecca Jordan",-36.80271,144.00268,,"VIC","Marong (private property)",,,,,"R.Jordan",,,,,,";;;;;;;;"
"J293",,,1,1,"Eucalyptus albens","2015-09-29",,-30.8942,150.66708,"WGS84","NSW","Keepit, Old Menedebri Rd",564,"Basalt","loam","N","J.Janes","Common","Present",,"Present","J293","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;Amyema miquelii;Asphodelus fistulosus;;;"
"J294",,,1,2,"Eucalyptus albens","2015-09-29","repeat of 293 (should have been collected as 293A)",-30.8942,150.66708,"WGS84","NSW","Keepit, Old Menedebri Rd",564,"Basalt","loam","N","J.Janes","Common","Present",,"Present",,"Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;Amyema miquelii;Asphodelus fistulosus;;;"
"J295",,,1,,"Eucalyptus albens","2015-09-29",,-30.89198,150.6728,"WGS84","NSW","Keepit, Somerton Main Rd",442,"Basalt","sandy-loam","NW","J.Janes","Common","Present","Present",,"J295","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;;;;;"
"J296",,,1,3,"Eucalyptus melliodora","2015-09-29",,-30.65167,150.87812,"WGS84","NSW","Namoi River, Dunmore Rd",408,"Granite","sandy-loam","SW","J.Janes","Common","Present","Present","Present","J296","Angophora floribunda;grasses;;;;;;;"
"J297",,,1,,"Eucalyptus melliodora","2015-09-29","repeat of 297 (should have been collected as J296A)",-30.6519,150.87828,"WGS84","NSW","Namoi River, Dunmore Rd",408,"Granite","sandy-loam","SW","J.Janes","Common","Present","Present",,,"Angophora floribunda;grasses;;;;;;;"
"J298",,,1,,"Eucalyptus sideroxylon","2015-09-29",,-30.15277,151.07437,"WGS84","NSW","Bundarra, Thunderbolts Way",672,"Granite","Sand ",,"J.Janes","Rare","Present","Present",,"J298","Grasses;;;;;;;;"
