libname	sid	pair	lane	runname	path
J374a	S267	R2	L002	plate1-6.0	reads/plate1-6.0/J374a_S267_L002_R2.fastq.gz
J374a	S267	R2	L004	plate1-6.0	reads/plate1-6.0/J374a_S267_L004_R2.fastq.gz
J374a	S267	R1	L001	plate1-6.0	reads/plate1-6.0/J374a_S267_L001_R1.fastq.gz
J393a	S409	R1	L003	plate1-6.0	reads/plate1-6.0/J393a_S409_L003_R1.fastq.gz
J393a	S409	R2	L001	plate1-6.0	reads/plate1-6.0/J393a_S409_L001_R2.fastq.gz
J393a	S409	R2	L003	plate1-6.0	reads/plate1-6.0/J393a_S409_L003_R2.fastq.gz
J393a	S409	R1	L002	plate1-6.0	reads/plate1-6.0/J393a_S409_L002_R1.fastq.gz
J393a	S409	R2	L002	plate1-6.0	reads/plate1-6.0/J393a_S409_L002_R2.fastq.gz
J393a	S409	R1	L004	plate1-6.0	reads/plate1-6.0/J393a_S409_L004_R1.fastq.gz
J393a	S409	R1	L001	plate1-6.0	reads/plate1-6.0/J393a_S409_L001_R1.fastq.gz
J393a	S409	R2	L004	plate1-6.0	reads/plate1-6.0/J393a_S409_L004_R2.fastq.gz
J349	S93	R2	L004	plate1-6.0	reads/plate1-6.0/J349_S93_L004_R2.fastq.gz
J349	S93	R1	L001	plate1-6.0	reads/plate1-6.0/J349_S93_L001_R1.fastq.gz
J349	S93	R2	L002	plate1-6.0	reads/plate1-6.0/J349_S93_L002_R2.fastq.gz
J349	S93	R1	L002	plate1-6.0	reads/plate1-6.0/J349_S93_L002_R1.fastq.gz
J349	S93	R1	L004	plate1-6.0	reads/plate1-6.0/J349_S93_L004_R1.fastq.gz
J349	S93	R1	L003	plate1-6.0	reads/plate1-6.0/J349_S93_L003_R1.fastq.gz
J349	S93	R2	L001	plate1-6.0	reads/plate1-6.0/J349_S93_L001_R2.fastq.gz
J349	S93	R2	L003	plate1-6.0	reads/plate1-6.0/J349_S93_L003_R2.fastq.gz
J364	S17	R1	L002	plate1-6.0	reads/plate1-6.0/J364_S17_L002_R1.fastq.gz
J364	S17	R1	L001	plate1-6.0	reads/plate1-6.0/J364_S17_L001_R1.fastq.gz
J364	S17	R2	L003	plate1-6.0	reads/plate1-6.0/J364_S17_L003_R2.fastq.gz
J364	S17	R1	L004	plate1-6.0	reads/plate1-6.0/J364_S17_L004_R1.fastq.gz
J364	S17	R2	L004	plate1-6.0	reads/plate1-6.0/J364_S17_L004_R2.fastq.gz
J364	S17	R1	L003	plate1-6.0	reads/plate1-6.0/J364_S17_L003_R1.fastq.gz
J364	S17	R2	L002	plate1-6.0	reads/plate1-6.0/J364_S17_L002_R2.fastq.gz
J364	S17	R2	L001	plate1-6.0	reads/plate1-6.0/J364_S17_L001_R2.fastq.gz
J405h	S363	R2	L001	plate1-6.0	reads/plate1-6.0/J405h_S363_L001_R2.fastq.gz
J405h	S363	R1	L002	plate1-6.0	reads/plate1-6.0/J405h_S363_L002_R1.fastq.gz
J405h	S363	R2	L002	plate1-6.0	reads/plate1-6.0/J405h_S363_L002_R2.fastq.gz
J405h	S363	R1	L004	plate1-6.0	reads/plate1-6.0/J405h_S363_L004_R1.fastq.gz
J405h	S363	R1	L003	plate1-6.0	reads/plate1-6.0/J405h_S363_L003_R1.fastq.gz
J405h	S363	R2	L003	plate1-6.0	reads/plate1-6.0/J405h_S363_L003_R2.fastq.gz
J405h	S363	R2	L004	plate1-6.0	reads/plate1-6.0/J405h_S363_L004_R2.fastq.gz
J405h	S363	R1	L001	plate1-6.0	reads/plate1-6.0/J405h_S363_L001_R1.fastq.gz
J430f	S521	R1	L002	plate1-6.0	reads/plate1-6.0/J430f_S521_L002_R1.fastq.gz
J430f	S521	R2	L003	plate1-6.0	reads/plate1-6.0/J430f_S521_L003_R2.fastq.gz
J430f	S521	R1	L001	plate1-6.0	reads/plate1-6.0/J430f_S521_L001_R1.fastq.gz
J430f	S521	R2	L001	plate1-6.0	reads/plate1-6.0/J430f_S521_L001_R2.fastq.gz
J430f	S521	R1	L004	plate1-6.0	reads/plate1-6.0/J430f_S521_L004_R1.fastq.gz
J430f	S521	R2	L004	plate1-6.0	reads/plate1-6.0/J430f_S521_L004_R2.fastq.gz
J430f	S521	R2	L002	plate1-6.0	reads/plate1-6.0/J430f_S521_L002_R2.fastq.gz
J430f	S521	R1	L003	plate1-6.0	reads/plate1-6.0/J430f_S521_L003_R1.fastq.gz
J322	S12	R2	L002	plate1-6.0	reads/plate1-6.0/J322_S12_L002_R2.fastq.gz
J322	S12	R1	L004	plate1-6.0	reads/plate1-6.0/J322_S12_L004_R1.fastq.gz
J322	S12	R2	L004	plate1-6.0	reads/plate1-6.0/J322_S12_L004_R2.fastq.gz
J322	S12	R1	L003	plate1-6.0	reads/plate1-6.0/J322_S12_L003_R1.fastq.gz
J322	S12	R2	L001	plate1-6.0	reads/plate1-6.0/J322_S12_L001_R2.fastq.gz
J322	S12	R1	L002	plate1-6.0	reads/plate1-6.0/J322_S12_L002_R1.fastq.gz
J322	S12	R1	L001	plate1-6.0	reads/plate1-6.0/J322_S12_L001_R1.fastq.gz
J322	S12	R2	L003	plate1-6.0	reads/plate1-6.0/J322_S12_L003_R2.fastq.gz
J421b	S412	R1	L004	plate1-6.0	reads/plate1-6.0/J421b_S412_L004_R1.fastq.gz
J421b	S412	R1	L002	plate1-6.0	reads/plate1-6.0/J421b_S412_L002_R1.fastq.gz
J421b	S412	R2	L003	plate1-6.0	reads/plate1-6.0/J421b_S412_L003_R2.fastq.gz
J421b	S412	R2	L002	plate1-6.0	reads/plate1-6.0/J421b_S412_L002_R2.fastq.gz
J421b	S412	R2	L001	plate1-6.0	reads/plate1-6.0/J421b_S412_L001_R2.fastq.gz
J421b	S412	R2	L004	plate1-6.0	reads/plate1-6.0/J421b_S412_L004_R2.fastq.gz
J421b	S412	R1	L003	plate1-6.0	reads/plate1-6.0/J421b_S412_L003_R1.fastq.gz
J421b	S412	R1	L001	plate1-6.0	reads/plate1-6.0/J421b_S412_L001_R1.fastq.gz
J424	S99	R1	L001	plate1-6.0	reads/plate1-6.0/J424_S99_L001_R1.fastq.gz
J424	S99	R1	L004	plate1-6.0	reads/plate1-6.0/J424_S99_L004_R1.fastq.gz
J424	S99	R1	L003	plate1-6.0	reads/plate1-6.0/J424_S99_L003_R1.fastq.gz
J424	S99	R2	L002	plate1-6.0	reads/plate1-6.0/J424_S99_L002_R2.fastq.gz
J424	S99	R2	L001	plate1-6.0	reads/plate1-6.0/J424_S99_L001_R2.fastq.gz
J424	S99	R2	L003	plate1-6.0	reads/plate1-6.0/J424_S99_L003_R2.fastq.gz
J424	S99	R1	L002	plate1-6.0	reads/plate1-6.0/J424_S99_L002_R1.fastq.gz
J424	S99	R2	L004	plate1-6.0	reads/plate1-6.0/J424_S99_L004_R2.fastq.gz
J426g	S499	R2	L002	plate1-6.0	reads/plate1-6.0/J426g_S499_L002_R2.fastq.gz
J426g	S499	R2	L003	plate1-6.0	reads/plate1-6.0/J426g_S499_L003_R2.fastq.gz
J426g	S499	R1	L004	plate1-6.0	reads/plate1-6.0/J426g_S499_L004_R1.fastq.gz
J426g	S499	R1	L003	plate1-6.0	reads/plate1-6.0/J426g_S499_L003_R1.fastq.gz
J426g	S499	R1	L002	plate1-6.0	reads/plate1-6.0/J426g_S499_L002_R1.fastq.gz
J426g	S499	R2	L004	plate1-6.0	reads/plate1-6.0/J426g_S499_L004_R2.fastq.gz
J426g	S499	R1	L001	plate1-6.0	reads/plate1-6.0/J426g_S499_L001_R1.fastq.gz
J426g	S499	R2	L001	plate1-6.0	reads/plate1-6.0/J426g_S499_L001_R2.fastq.gz
J430a	S518	R1	L001	plate1-6.0	reads/plate1-6.0/J430a_S518_L001_R1.fastq.gz
J430a	S518	R1	L004	plate1-6.0	reads/plate1-6.0/J430a_S518_L004_R1.fastq.gz
J430a	S518	R2	L001	plate1-6.0	reads/plate1-6.0/J430a_S518_L001_R2.fastq.gz
J430a	S518	R2	L004	plate1-6.0	reads/plate1-6.0/J430a_S518_L004_R2.fastq.gz
J430a	S518	R1	L002	plate1-6.0	reads/plate1-6.0/J430a_S518_L002_R1.fastq.gz
J430a	S518	R2	L002	plate1-6.0	reads/plate1-6.0/J430a_S518_L002_R2.fastq.gz
J430a	S518	R2	L003	plate1-6.0	reads/plate1-6.0/J430a_S518_L003_R2.fastq.gz
J430a	S518	R1	L003	plate1-6.0	reads/plate1-6.0/J430a_S518_L003_R1.fastq.gz
J320	S82	R2	L003	plate1-6.0	reads/plate1-6.0/J320_S82_L003_R2.fastq.gz
J320	S82	R1	L002	plate1-6.0	reads/plate1-6.0/J320_S82_L002_R1.fastq.gz
J320	S82	R2	L001	plate1-6.0	reads/plate1-6.0/J320_S82_L001_R2.fastq.gz
J320	S82	R1	L003	plate1-6.0	reads/plate1-6.0/J320_S82_L003_R1.fastq.gz
J320	S82	R1	L004	plate1-6.0	reads/plate1-6.0/J320_S82_L004_R1.fastq.gz
J320	S82	R2	L002	plate1-6.0	reads/plate1-6.0/J320_S82_L002_R2.fastq.gz
J320	S82	R1	L001	plate1-6.0	reads/plate1-6.0/J320_S82_L001_R1.fastq.gz
J320	S82	R2	L004	plate1-6.0	reads/plate1-6.0/J320_S82_L004_R2.fastq.gz
TLC775	S76	R2	L001	plate1-6.0	reads/plate1-6.0/TLC775_S76_L001_R2.fastq.gz
TLC775	S76	R2	L003	plate1-6.0	reads/plate1-6.0/TLC775_S76_L003_R2.fastq.gz
TLC775	S76	R1	L002	plate1-6.0	reads/plate1-6.0/TLC775_S76_L002_R1.fastq.gz
TLC775	S76	R1	L003	plate1-6.0	reads/plate1-6.0/TLC775_S76_L003_R1.fastq.gz
TLC775	S76	R1	L001	plate1-6.0	reads/plate1-6.0/TLC775_S76_L001_R1.fastq.gz
TLC775	S76	R2	L004	plate1-6.0	reads/plate1-6.0/TLC775_S76_L004_R2.fastq.gz
TLC775	S76	R1	L004	plate1-6.0	reads/plate1-6.0/TLC775_S76_L004_R1.fastq.gz
TLC775	S76	R2	L002	plate1-6.0	reads/plate1-6.0/TLC775_S76_L002_R2.fastq.gz
J433c	S374	R2	L001	plate1-6.0	reads/plate1-6.0/J433c_S374_L001_R2.fastq.gz
J433c	S374	R1	L003	plate1-6.0	reads/plate1-6.0/J433c_S374_L003_R1.fastq.gz
J433c	S374	R2	L003	plate1-6.0	reads/plate1-6.0/J433c_S374_L003_R2.fastq.gz
J433c	S374	R2	L002	plate1-6.0	reads/plate1-6.0/J433c_S374_L002_R2.fastq.gz
J433c	S374	R2	L004	plate1-6.0	reads/plate1-6.0/J433c_S374_L004_R2.fastq.gz
J433c	S374	R1	L002	plate1-6.0	reads/plate1-6.0/J433c_S374_L002_R1.fastq.gz
J433c	S374	R1	L001	plate1-6.0	reads/plate1-6.0/J433c_S374_L001_R1.fastq.gz
J433c	S374	R1	L004	plate1-6.0	reads/plate1-6.0/J433c_S374_L004_R1.fastq.gz
J406e	S378	R1	L004	plate1-6.0	reads/plate1-6.0/J406e_S378_L004_R1.fastq.gz
J406e	S378	R1	L002	plate1-6.0	reads/plate1-6.0/J406e_S378_L002_R1.fastq.gz
J406e	S378	R2	L001	plate1-6.0	reads/plate1-6.0/J406e_S378_L001_R2.fastq.gz
J406e	S378	R1	L001	plate1-6.0	reads/plate1-6.0/J406e_S378_L001_R1.fastq.gz
J406e	S378	R2	L004	plate1-6.0	reads/plate1-6.0/J406e_S378_L004_R2.fastq.gz
J406e	S378	R2	L002	plate1-6.0	reads/plate1-6.0/J406e_S378_L002_R2.fastq.gz
J406e	S378	R1	L003	plate1-6.0	reads/plate1-6.0/J406e_S378_L003_R1.fastq.gz
J406e	S378	R2	L003	plate1-6.0	reads/plate1-6.0/J406e_S378_L003_R2.fastq.gz
J374h	S258	R1	L004	plate1-6.0	reads/plate1-6.0/J374h_S258_L004_R1.fastq.gz
J374h	S258	R1	L001	plate1-6.0	reads/plate1-6.0/J374h_S258_L001_R1.fastq.gz
J374h	S258	R1	L002	plate1-6.0	reads/plate1-6.0/J374h_S258_L002_R1.fastq.gz
J374h	S258	R2	L002	plate1-6.0	reads/plate1-6.0/J374h_S258_L002_R2.fastq.gz
J374h	S258	R2	L004	plate1-6.0	reads/plate1-6.0/J374h_S258_L004_R2.fastq.gz
J374h	S258	R1	L003	plate1-6.0	reads/plate1-6.0/J374h_S258_L003_R1.fastq.gz
J374h	S258	R2	L003	plate1-6.0	reads/plate1-6.0/J374h_S258_L003_R2.fastq.gz
J374h	S258	R2	L001	plate1-6.0	reads/plate1-6.0/J374h_S258_L001_R2.fastq.gz
J376i	S323	R2	L002	plate1-6.0	reads/plate1-6.0/J376i_S323_L002_R2.fastq.gz
J376i	S323	R1	L004	plate1-6.0	reads/plate1-6.0/J376i_S323_L004_R1.fastq.gz
J376i	S323	R1	L003	plate1-6.0	reads/plate1-6.0/J376i_S323_L003_R1.fastq.gz
J376i	S323	R1	L002	plate1-6.0	reads/plate1-6.0/J376i_S323_L002_R1.fastq.gz
J376i	S323	R2	L004	plate1-6.0	reads/plate1-6.0/J376i_S323_L004_R2.fastq.gz
J376i	S323	R2	L001	plate1-6.0	reads/plate1-6.0/J376i_S323_L001_R2.fastq.gz
J376i	S323	R1	L001	plate1-6.0	reads/plate1-6.0/J376i_S323_L001_R1.fastq.gz
J376i	S323	R2	L003	plate1-6.0	reads/plate1-6.0/J376i_S323_L003_R2.fastq.gz
J349h	S212	R2	L004	plate1-6.0	reads/plate1-6.0/J349h_S212_L004_R2.fastq.gz
J349h	S212	R2	L001	plate1-6.0	reads/plate1-6.0/J349h_S212_L001_R2.fastq.gz
J349h	S212	R2	L003	plate1-6.0	reads/plate1-6.0/J349h_S212_L003_R2.fastq.gz
J349h	S212	R1	L001	plate1-6.0	reads/plate1-6.0/J349h_S212_L001_R1.fastq.gz
J349h	S212	R2	L002	plate1-6.0	reads/plate1-6.0/J349h_S212_L002_R2.fastq.gz
J349h	S212	R1	L003	plate1-6.0	reads/plate1-6.0/J349h_S212_L003_R1.fastq.gz
J349h	S212	R1	L002	plate1-6.0	reads/plate1-6.0/J349h_S212_L002_R1.fastq.gz
J349h	S212	R1	L004	plate1-6.0	reads/plate1-6.0/J349h_S212_L004_R1.fastq.gz
J401a	S278	R2	L001	plate1-6.0	reads/plate1-6.0/J401a_S278_L001_R2.fastq.gz
J401a	S278	R1	L001	plate1-6.0	reads/plate1-6.0/J401a_S278_L001_R1.fastq.gz
J401a	S278	R1	L003	plate1-6.0	reads/plate1-6.0/J401a_S278_L003_R1.fastq.gz
J401a	S278	R2	L002	plate1-6.0	reads/plate1-6.0/J401a_S278_L002_R2.fastq.gz
J401a	S278	R1	L002	plate1-6.0	reads/plate1-6.0/J401a_S278_L002_R1.fastq.gz
J401a	S278	R2	L003	plate1-6.0	reads/plate1-6.0/J401a_S278_L003_R2.fastq.gz
