"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J352d","plate1-6.0","plate1-6.0~J352d","J352d",,,,,
"J352e","plate1-6.0","plate1-6.0~J352e","J352e",,,,,
"J352f","plate1-6.0","plate1-6.0~J352f","J352f",,,,,
"J352g","plate1-6.0","plate1-6.0~J352g","J352g",,,,,
"J352h","plate1-6.0","plate1-6.0~J352h","J352h",,,,,
"J352i","plate1-6.0","plate1-6.0~J352i","J352i",,,,,
"J353","plate1-6.0","plate1-6.0~J353","J353",,,,,"Y"
"J354","plate1-6.0","plate1-6.0~J354","J354",,,,,"Y"
"J355","plate1-6.0","plate1-6.0~J355","J355",,"Y",,,"Y"
"J355a","plate1-6.0","plate1-6.0~J355a","J355a",,"Y",,,
"J355b","plate1-6.0","plate1-6.0~J355b","J355b",,"Y",,,"Y"
"J355c","plate1-6.0","plate1-6.0~J355c","J355c",,"Y",,,
"J355d","plate1-6.0","plate1-6.0~J355d","J355d",,"Y",,,
"J355e","plate1-6.0","plate1-6.0~J355e","J355e",,"Y",,,
"J355f","plate1-6.0","plate1-6.0~J355f","J355f",,"Y",,,
"J355g","plate1-6.0","plate1-6.0~J355g","J355g",,"Y",,,
"J357","plate1-6.0","plate1-6.0~J357","J357",,,,,"Y"
"J358","plate1-6.0","plate1-6.0~J358","J358",,,,,"Y"
"J359","plate1-6.0","plate1-6.0~J359","J359",,"Y",,,"Y"
"J359a","plate1-6.0","plate1-6.0~J359a","J359a",,"Y",,,
"J359b","plate1-6.0","plate1-6.0~J359b","J359b",,"Y",,,
"J359c","plate1-6.0","plate1-6.0~J359c","J359c",,"Y",,,
"J359d","plate1-6.0","plate1-6.0~J359d","J359d",,"Y",,,
"J359e","plate1-6.0","plate1-6.0~J359e","J359e",,"Y",,,
"J359g","plate1-6.0","plate1-6.0~J359g","J359g",,"Y",,,
"J359h","plate1-6.0","plate1-6.0~J359h","J359h",,"Y",,,
"J359i","plate1-6.0","plate1-6.0~J359i","J359i",,"Y",,,
"J360","plate1-6.0","plate1-6.0~J360","J360",,,,,"Y"
"J361","plate1-6.0","plate1-6.0~J361","J361",,"Y",,,"Y"
"J361a","plate1-6.0","plate1-6.0~J361a","J361a",,"Y",,,
"J361b","plate1-6.0","plate1-6.0~J361b","J361b",,"Y",,,
"J361c","plate1-6.0","plate1-6.0~J361c","J361c",,"Y",,,
"J361d","plate1-6.0","plate1-6.0~J361d","J361d",,"Y",,"MEL2375684A",
"J361e","plate1-6.0","plate1-6.0~J361e","J361e",,"Y",,"MEL2375685A",
"J361f","plate1-6.0","plate1-6.0~J361f","J361f",,"Y",,"MEL2375686A",
"J361g","plate1-6.0","plate1-6.0~J361g","J361g",,"Y",,,
"J361h","plate1-6.0","plate1-6.0~J361h","J361h",,"Y",,"MEL2375659A",
"J361i","plate1-6.0","plate1-6.0~J361i","J361i",,"Y",,"MEL2375667A",
"J362","plate1-6.0","plate1-6.0~J362","J362",,"Y",,"MEL2375669A",
"J362_young","plate1-6.0","plate1-6.0~J362_young","J362",,"Y",,"MEL2375669A",
"J362a","plate1-6.0","plate1-6.0~J362a","J362a",,"Y",,,
"J362b","plate1-6.0","plate1-6.0~J362b","J362b",,"Y",,,
