"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J425i","plate1-6.0","plate1-6.0~J425i","J425i",,"Y",,,
"J426","plate1-6.0","plate1-6.0~J426","J426",,"Y",,,
"J426a","plate1-6.0","plate1-6.0~J426a","J426a",,"Y",,,
"J426b","plate1-6.0","plate1-6.0~J426b","J426b",,"Y",,,
"J426c","plate1-6.0","plate1-6.0~J426c","J426c",,"Y",,,
"J426d","plate1-6.0","plate1-6.0~J426d","J426d",,"Y",,,
"J426f","plate1-6.0","plate1-6.0~J426f","J426f",,"Y",,,
"J426g","plate1-6.0","plate1-6.0~J426g","J426g",,"Y",,,
"J426h","plate1-6.0","plate1-6.0~J426h","J426h",,"Y",,,
"J426i","plate1-6.0","plate1-6.0~J426i","J426i",,"Y",,,
"J427","plate1-6.0","plate1-6.0~J427","J427",,,,,"Y"
"J427a","plate1-6.0","plate1-6.0~J427a","J427a",,,,,"Y"
"J428","plate1-6.0","plate1-6.0~J428","J428",,"Y",,,
"J428a","plate1-6.0","plate1-6.0~J428a","J428a",,"Y",,,
"J428b","plate1-6.0","plate1-6.0~J428b","J428b",,"Y",,,
"J428c","plate1-6.0","plate1-6.0~J428c","J428c",,"Y",,,
"J428d","plate1-6.0","plate1-6.0~J428d","J428d",,"Y",,,
"J428e","plate1-6.0","plate1-6.0~J428e","J428e",,"Y",,,
"J428f","plate1-6.0","plate1-6.0~J428f","J428f",,"Y",,,
"J428g","plate1-6.0","plate1-6.0~J428g","J428g",,"Y",,,
"J428h","plate1-6.0","plate1-6.0~J428h","J428h",,"Y",,,
"J428i","plate1-6.0","plate1-6.0~J428i","J428i",,"Y",,,
"J429","plate1-6.0","plate1-6.0~J429","J429",,"Y",,,
"J429a","plate1-6.0","plate1-6.0~J429a","J429a",,"Y",,,
"J429b","plate1-6.0","plate1-6.0~J429b","J429b",,"Y",,,
"J429c","plate1-6.0","plate1-6.0~J429c","J429c",,"Y",,,
"J429d","plate1-6.0","plate1-6.0~J429d","J429d",,"Y",,,
"J429e","plate1-6.0","plate1-6.0~J429e","J429e",,"Y",,,
"J429f","plate1-6.0","plate1-6.0~J429f","J429f",,"Y",,,
"J429g","plate1-6.0","plate1-6.0~J429g","J429g",,"Y",,,
"J429h","plate1-6.0","plate1-6.0~J429h","J429h",,"Y",,,
"J429i","plate1-6.0","plate1-6.0~J429i","J429i",,"Y",,,
"J430","plate1-6.0","plate1-6.0~J430","J430",,"Y",,,
"J430a","plate1-6.0","plate1-6.0~J430a","J430a",,"Y",,,
"J430a-rep","plate1-6.0","plate1-6.0~J430a-rep","J430a",,"Y",,,
"J430b","plate1-6.0","plate1-6.0~J430b","J430b",,"Y",,,
"J430c","plate1-6.0","plate1-6.0~J430c","J430c",,"Y",,,
"J430d","plate1-6.0","plate1-6.0~J430d","J430d",,"Y",,,
"J430e","plate1-6.0","plate1-6.0~J430e","J430e",,"Y",,,
"J430f","plate1-6.0","plate1-6.0~J430f","J430f",,"Y",,,
"J430g","plate1-6.0","plate1-6.0~J430g","J430g",,"Y",,,
"J430h","plate1-6.0","plate1-6.0~J430h","J430h",,"Y",,,
"J430i","plate1-6.0","plate1-6.0~J430i","J430i",,"Y",,,
"J431","plate1-6.0","plate1-6.0~J431","J431",,,,,"Y"
"J432","plate1-6.0","plate1-6.0~J432","J432",,,,,"Y"
"J433","plate1-6.0","plate1-6.0~J433","J433",,"Y",,,
"J433a","plate1-6.0","plate1-6.0~J433a","J433a",,"Y",,,
"J433b","plate1-6.0","plate1-6.0~J433b","J433b",,"Y",,,
"J433c","plate1-6.0","plate1-6.0~J433c","J433c",,"Y",,,
"J433d","plate1-6.0","plate1-6.0~J433d","J433d",,"Y",,,
"J433e","plate1-6.0","plate1-6.0~J433e","J433e",,"Y",,,
"J433f","plate1-6.0","plate1-6.0~J433f","J433f",,"Y",,,
"J433g","plate1-6.0","plate1-6.0~J433g","J433g",,"Y",,,
"J433h","plate1-6.0","plate1-6.0~J433h","J433h",,"Y",,,
"J434","plate1-6.0","plate1-6.0~J434","J434",,"Y",,,
"J434a","plate1-6.0","plate1-6.0~J434a","J434a",,"Y",,,
"J434b","plate1-6.0","plate1-6.0~J434b","J434b",,"Y",,,
"J435","plate1-6.0","plate1-6.0~J435","J435",,"Y",,,
"J435a","plate1-6.0","plate1-6.0~J435a","J435a",,"Y",,,
"J435b","plate1-6.0","plate1-6.0~J435b","J435b",,"Y",,,
"J435c","plate1-6.0","plate1-6.0~J435c","J435c",,"Y",,,
"J435d","plate1-6.0","plate1-6.0~J435d","J435d",,"Y",,,
"J435e","plate1-6.0","plate1-6.0~J435e","J435e",,"Y",,,
"J435f","plate1-6.0","plate1-6.0~J435f","J435f",,"Y",,,
"J435g","plate1-6.0","plate1-6.0~J435g","J435g",,"Y",,,
"J435h","plate1-6.0","plate1-6.0~J435h","J435h",,"Y",,,
"J435i","plate1-6.0","plate1-6.0~J435i","J435i",,"Y",,,
"J436","plate1-6.0","plate1-6.0~J436","J436",,"Y",,,
"J436a","plate1-6.0","plate1-6.0~J436a","J436a",,"Y",,,
"J436b","plate1-6.0","plate1-6.0~J436b","J436b",,"Y",,,
"J436c","plate1-6.0","plate1-6.0~J436c","J436c",,"Y",,,
"J436c-rep","plate1-6.0","plate1-6.0~J436c-rep","J436c",,"Y",,,
"J436d","plate1-6.0","plate1-6.0~J436d","J436d",,"Y",,,
"J436e","plate1-6.0","plate1-6.0~J436e","J436e",,"Y",,,
"J436f","plate1-6.0","plate1-6.0~J436f","J436f",,"Y",,,
"J436g","plate1-6.0","plate1-6.0~J436g","J436g",,"Y",,,
"J436h","plate1-6.0","plate1-6.0~J436h","J436h",,"Y",,,
"J436i","plate1-6.0","plate1-6.0~J436i","J436i",,"Y",,,
"J437","plate1-6.0","plate1-6.0~J437","J437",,"Y",,,
"J438","plate1-6.0","plate1-6.0~J438","J438",,"Y",,,
"M1c","plate1-6.0","plate1-6.0~M1c","MelMosaic",,,,,"Y"
"M2a","plate1-6.0","plate1-6.0~M2a","MelMosaic",,,,,"Y"
"M2b","plate1-6.0","plate1-6.0~M2b","MelMosaic",,,,,"Y"
"NAL05","plate1-6.0","plate1-6.0~NAL05","NAL05",,,,,"Y"
"NBJ30","plate1-6.0","plate1-6.0~NBJ30","NBJ30",,,,,"Y"
"NCD30","plate1-6.0","plate1-6.0~NCD30","NCD30",,,,,"Y"
"NCR13","plate1-6.0","plate1-6.0~NCR13","NCR13",,,,,"Y"
"NDU10","plate1-6.0","plate1-6.0~NDU10","NDU10",,,,,"Y"
"NE10467","plate1-6.0","plate1-6.0~NE10467","NE10467",,,,,"Y"
"NE25923","plate1-6.0","plate1-6.0~NE25923","NE25923",,,,,"Y"
"NE25953","plate1-6.0","plate1-6.0~NE25953","NE25953",,,,,"Y"
"NE35955","plate1-6.0","plate1-6.0~NE35955","NE35955",,,,,"Y"
"NE35959","plate1-6.0","plate1-6.0~NE35959","NE35959",,,,,"Y"
"NE36811","plate1-6.0","plate1-6.0~NE36811","NE36811",,,,,"Y"
"NE37169","plate1-6.0","plate1-6.0~NE37169","NE37169",,,,,"Y"
"NE37647","plate1-6.0","plate1-6.0~NE37647","NE37647",,,,,"Y"
"NE4583","plate1-6.0","plate1-6.0~NE4583","NE4583",,,,,"Y"
"NE67754","plate1-6.0","plate1-6.0~NE67754","NE67754",,,,,"Y"
"NE90535","plate1-6.0","plate1-6.0~NE90535","NE90535",,,,,"Y"
"RA1006","plate1-6.0","plate1-6.0~RA1006","RA1006",,,,,"Y"
"RA1007","plate1-6.0","plate1-6.0~RA1007","RA1007",,"Y",,,
"TLC715","plate1-6.0","plate1-6.0~TLC715","TLC715",,,"sifted  Storm King",,"Y"
"TLC720","plate1-6.0","plate1-6.0~TLC720","TLC720",,,"sieved in box ",,"Y"
"TLC725","plate1-6.0","plate1-6.0~TLC725","TLC725",,,"sieved in box ",,"Y"
"TLC726","plate1-6.0","plate1-6.0~TLC726","TLC726",,,"  ",,"Y"
"TLC775","plate1-6.0","plate1-6.0~TLC775","TLC775",,,"cleaned box within box ",,"Y"
"VMA18","plate1-6.0","plate1-6.0~VMA18","VMA18",,,,,"Y"
"VWG14","plate1-6.0","plate1-6.0~VWG14","VWG14",,,,,"Y"
"FDK10","plate1-6.1","plate1-6.1~FDK10","FDK10",,,,,"Y"
"GH1","plate1-6.1","plate1-6.1~GH1","GH1",,,,,
"GH2","plate1-6.1","plate1-6.1~GH2","GH2",,,,,
"J293","plate1-6.1","plate1-6.1~J293","J293",,"Y",,,
"J294","plate1-6.1","plate1-6.1~J294","J294",,,,,"Y"
"J295","plate1-6.1","plate1-6.1~J295","J295",,"Y",,,
"J295-rep","plate1-6.1","plate1-6.1~J295-rep","J295",,"Y",,,
"J296","plate1-6.1","plate1-6.1~J296","J296",,,,,"Y"
"J298","plate1-6.1","plate1-6.1~J298","J298",,,,,"Y"
"J300","plate1-6.1","plate1-6.1~J300","J300",,"Y",,,
"J301","plate1-6.1","plate1-6.1~J301","J301",,,,,"Y"
"J302","plate1-6.1","plate1-6.1~J302","J302",,"Y",,,
"J303","plate1-6.1","plate1-6.1~J303","J303",,"Y",,,
"J304","plate1-6.1","plate1-6.1~J304","J304",,"Y",,,
"J307","plate1-6.1","plate1-6.1~J307","J307",,,,,
"J310","plate1-6.1","plate1-6.1~J310","J310",,,,,"Y"
"J311","plate1-6.1","plate1-6.1~J311","J311",,,,,"Y"
"J312","plate1-6.1","plate1-6.1~J312","J312",,"Y",,,
"J315","plate1-6.1","plate1-6.1~J315","J315",,,,,"Y"
"J316","plate1-6.1","plate1-6.1~J316","J316",,,,,"Y"
"J317","plate1-6.1","plate1-6.1~J317","J317",,,,,"Y"
"J318","plate1-6.1","plate1-6.1~J318","J318",,,,,"Y"
"J319","plate1-6.1","plate1-6.1~J319","J319",,,,,"Y"
"J320","plate1-6.1","plate1-6.1~J320","J320",,,,,"Y"
"J321g","plate1-6.1","plate1-6.1~J321g","J321g",,,,,"Y"
"J322","plate1-6.1","plate1-6.1~J322","J322",,,,,"Y"
"J324","plate1-6.1","plate1-6.1~J324","J324",,,,,"Y"
"J326","plate1-6.1","plate1-6.1~J326","J326",,,,,"Y"
"J327","plate1-6.1","plate1-6.1~J327","J327",,,,,"Y"
"J328","plate1-6.1","plate1-6.1~J328","J328",,,,,"Y"
"J329","plate1-6.1","plate1-6.1~J329","J329",,,,,"Y"
"J330","plate1-6.1","plate1-6.1~J330","J330",,,,,"Y"
"J331","plate1-6.1","plate1-6.1~J331","J331",,,,,"Y"
"J333","plate1-6.1","plate1-6.1~J333","J333",,,,,"Y"
"J333_plus","plate1-6.1","plate1-6.1~J333_plus","J333",,,,,"Y"
"J333a","plate1-6.1","plate1-6.1~J333a","J333a",,,,,"Y"
"J334","plate1-6.1","plate1-6.1~J334","J334",,,,,"Y"
"J335","plate1-6.1","plate1-6.1~J335","J335",,,,,"Y"
"J338","plate1-6.1","plate1-6.1~J338","J338",,,,,"Y"
"J339","plate1-6.1","plate1-6.1~J339","J339",,,,,"Y"
"J340","plate1-6.1","plate1-6.1~J340","J340",,,,,"Y"
"J341","plate1-6.1","plate1-6.1~J341","J341",,"Y",,,"Y"
"J341a","plate1-6.1","plate1-6.1~J341a","J341a",,"Y",,,
"J341b","plate1-6.1","plate1-6.1~J341b","J341b",,"Y",,,
"J341c","plate1-6.1","plate1-6.1~J341c","J341c",,"Y",,,
"J341d","plate1-6.1","plate1-6.1~J341d","J341d",,"Y",,,
"J342","plate1-6.1","plate1-6.1~J342","J342",,"Y",,,"Y"
"J342a","plate1-6.1","plate1-6.1~J342a","J342a",,"Y",,,
"J342a-rep","plate1-6.1","plate1-6.1~J342a-rep","J342a",,"Y",,,
"J342b","plate1-6.1","plate1-6.1~J342b","J342b",,"Y",,,
"J342c","plate1-6.1","plate1-6.1~J342c","J342c",,"Y",,,
"J342d","plate1-6.1","plate1-6.1~J342d","J342d",,"Y",,,
"J343","plate1-6.1","plate1-6.1~J343","J343",,,,,"Y"
"J344","plate1-6.1","plate1-6.1~J344","J344",,,,,"Y"
"J345","plate1-6.1","plate1-6.1~J345","J345",,,,,"Y"
"J345_plus","plate1-6.1","plate1-6.1~J345_plus","J345",,,,,"Y"
"J345a","plate1-6.1","plate1-6.1~J345a","J345a",,"Y",,,
"J345d","plate1-6.1","plate1-6.1~J345d","J345d",,"Y",,,
"J346","plate1-6.1","plate1-6.1~J346","J346",,,,,"Y"
"J347","plate1-6.1","plate1-6.1~J347","J347",,,,,"Y"
"J348","plate1-6.1","plate1-6.1~J348","J348",,,,,"Y"
"J349","plate1-6.1","plate1-6.1~J349","J349",,"Y",,,"Y"
"J349a","plate1-6.1","plate1-6.1~J349a","J349a",,"Y",,,
"J349b","plate1-6.1","plate1-6.1~J349b","J349b",,"Y",,,
"J349d","plate1-6.1","plate1-6.1~J349d","J349d",,"Y",,,
"J349e","plate1-6.1","plate1-6.1~J349e","J349e",,"Y",,,
"J349f","plate1-6.1","plate1-6.1~J349f","J349f",,"Y",,,
"J349g","plate1-6.1","plate1-6.1~J349g","J349g",,"Y",,,
"J349h","plate1-6.1","plate1-6.1~J349h","J349h",,"Y",,,
"J349i","plate1-6.1","plate1-6.1~J349i","J349i",,"Y",,,
"J349j","plate1-6.1","plate1-6.1~J349j","J349j",,"Y",,,
"J350","plate1-6.1","plate1-6.1~J350","J350",,"Y",,,"Y"
"J350a","plate1-6.1","plate1-6.1~J350a","J350a",,"Y",,,
"J350b","plate1-6.1","plate1-6.1~J350b","J350b",,"Y",,,
"J350c","plate1-6.1","plate1-6.1~J350c","J350c",,"Y",,,
"J350d","plate1-6.1","plate1-6.1~J350d","J350d",,"Y",,,
"J350e","plate1-6.1","plate1-6.1~J350e","J350e",,"Y",,,
"J350f","plate1-6.1","plate1-6.1~J350f","J350f",,"Y",,,
"J350g","plate1-6.1","plate1-6.1~J350g","J350g",,"Y",,,
"J350h","plate1-6.1","plate1-6.1~J350h","J350h",,"Y",,,
"J350i","plate1-6.1","plate1-6.1~J350i","J350i",,"Y",,,
"J351","plate1-6.1","plate1-6.1~J351","J351",,,,,"Y"
"J351_plus","plate1-6.1","plate1-6.1~J351_plus","J351",,,,,"Y"
"J352","plate1-6.1","plate1-6.1~J352","J352",,"Y",,,"Y"
"J352a","plate1-6.1","plate1-6.1~J352a","J352a",,,,,
"J352b","plate1-6.1","plate1-6.1~J352b","J352b",,,,,
"J352c","plate1-6.1","plate1-6.1~J352c","J352c",,,,,
"J352d","plate1-6.1","plate1-6.1~J352d","J352d",,,,,
"J352e","plate1-6.1","plate1-6.1~J352e","J352e",,,,,
"J352f","plate1-6.1","plate1-6.1~J352f","J352f",,,,,
"J352g","plate1-6.1","plate1-6.1~J352g","J352g",,,,,
"J352h","plate1-6.1","plate1-6.1~J352h","J352h",,,,,
"J352i","plate1-6.1","plate1-6.1~J352i","J352i",,,,,
"J353","plate1-6.1","plate1-6.1~J353","J353",,,,,"Y"
"J354","plate1-6.1","plate1-6.1~J354","J354",,,,,"Y"
"J355","plate1-6.1","plate1-6.1~J355","J355",,"Y",,,"Y"
"J355a","plate1-6.1","plate1-6.1~J355a","J355a",,"Y",,,
"J355b","plate1-6.1","plate1-6.1~J355b","J355b",,"Y",,,"Y"
"J355c","plate1-6.1","plate1-6.1~J355c","J355c",,"Y",,,
"J355d","plate1-6.1","plate1-6.1~J355d","J355d",,"Y",,,
"J355e","plate1-6.1","plate1-6.1~J355e","J355e",,"Y",,,
"J355f","plate1-6.1","plate1-6.1~J355f","J355f",,"Y",,,
"J355g","plate1-6.1","plate1-6.1~J355g","J355g",,"Y",,,
"J357","plate1-6.1","plate1-6.1~J357","J357",,,,,"Y"
"J358","plate1-6.1","plate1-6.1~J358","J358",,,,,"Y"
"J359","plate1-6.1","plate1-6.1~J359","J359",,"Y",,,"Y"
"J359a","plate1-6.1","plate1-6.1~J359a","J359a",,"Y",,,
"J359b","plate1-6.1","plate1-6.1~J359b","J359b",,"Y",,,
"J359c","plate1-6.1","plate1-6.1~J359c","J359c",,"Y",,,
"J359d","plate1-6.1","plate1-6.1~J359d","J359d",,"Y",,,
"J359e","plate1-6.1","plate1-6.1~J359e","J359e",,"Y",,,
"J359g","plate1-6.1","plate1-6.1~J359g","J359g",,"Y",,,
"J359h","plate1-6.1","plate1-6.1~J359h","J359h",,"Y",,,
"J359i","plate1-6.1","plate1-6.1~J359i","J359i",,"Y",,,
"J360","plate1-6.1","plate1-6.1~J360","J360",,,,,"Y"
"J361","plate1-6.1","plate1-6.1~J361","J361",,"Y",,,"Y"
"J361a","plate1-6.1","plate1-6.1~J361a","J361a",,"Y",,,
"J361b","plate1-6.1","plate1-6.1~J361b","J361b",,"Y",,,
"J361c","plate1-6.1","plate1-6.1~J361c","J361c",,"Y",,,
"J361d","plate1-6.1","plate1-6.1~J361d","J361d",,"Y",,"MEL2375684A",
"J361e","plate1-6.1","plate1-6.1~J361e","J361e",,"Y",,"MEL2375685A",
"J361f","plate1-6.1","plate1-6.1~J361f","J361f",,"Y",,"MEL2375686A",
"J361g","plate1-6.1","plate1-6.1~J361g","J361g",,"Y",,,
"J361h","plate1-6.1","plate1-6.1~J361h","J361h",,"Y",,"MEL2375659A",
"J361i","plate1-6.1","plate1-6.1~J361i","J361i",,"Y",,"MEL2375667A",
"J362","plate1-6.1","plate1-6.1~J362","J362",,"Y",,"MEL2375669A",
"J362_young","plate1-6.1","plate1-6.1~J362_young","J362",,"Y",,"MEL2375669A",
"J362a","plate1-6.1","plate1-6.1~J362a","J362a",,"Y",,,
"J362b","plate1-6.1","plate1-6.1~J362b","J362b",,"Y",,,
"J363","plate1-6.1","plate1-6.1~J363","J363",,,,,"Y"
"J363_plus","plate1-6.1","plate1-6.1~J363_plus","J363",,,,,"Y"
"J364","plate1-6.1","plate1-6.1~J364","J364",,,,,"Y"
"J365","plate1-6.1","plate1-6.1~J365","J365",,,,,"Y"
"J366","plate1-6.1","plate1-6.1~J366","J366",,,,,"Y"
"J366_plus","plate1-6.1","plate1-6.1~J366_plus","J366",,,,,"Y"
"J367","plate1-6.1","plate1-6.1~J367","J367",,"Y",,,"Y"
"J367a","plate1-6.1","plate1-6.1~J367a","J367a",,"Y",,,
"J367b","plate1-6.1","plate1-6.1~J367b","J367b",,"Y",,,
"J367c","plate1-6.1","plate1-6.1~J367c","J367c",,"Y",,,
"J367d","plate1-6.1","plate1-6.1~J367d","J367d",,"Y",,,
"J367e","plate1-6.1","plate1-6.1~J367e","J367e",,"Y",,,
"J367f","plate1-6.1","plate1-6.1~J367f","J367f",,"Y",,,
"J367g","plate1-6.1","plate1-6.1~J367g","J367g",,"Y",,,
"J367h","plate1-6.1","plate1-6.1~J367h","J367h",,"Y",,,
"J367i","plate1-6.1","plate1-6.1~J367i","J367i",,,,,"Y"
"J368","plate1-6.1","plate1-6.1~J368","J368",,,,,"Y"
"J369","plate1-6.1","plate1-6.1~J369","J369",,,,,"Y"
"J370","plate1-6.1","plate1-6.1~J370","J370",,,,,"Y"
"J371","plate1-6.1","plate1-6.1~J371","J371",,,,,"Y"
"J372","plate1-6.1","plate1-6.1~J372","J372",,,,,"Y"
"J373","plate1-6.1","plate1-6.1~J373","J373",,,,,"Y"
"J374","plate1-6.1","plate1-6.1~J374","J374",,"Y",,,"Y"
"J374a","plate1-6.1","plate1-6.1~J374a","J374a",,"Y",,,
"J374b","plate1-6.1","plate1-6.1~J374b","J374b",,"Y",,,
"J374c","plate1-6.1","plate1-6.1~J374c","J374c",,"Y",,,
"J374d","plate1-6.1","plate1-6.1~J374d","J374d",,"Y",,,
"J374e","plate1-6.1","plate1-6.1~J374e","J374e",,"Y",,,
"J374f","plate1-6.1","plate1-6.1~J374f","J374f",,"Y",,,
"J374g","plate1-6.1","plate1-6.1~J374g","J374g",,"Y",,,
"J374h","plate1-6.1","plate1-6.1~J374h","J374h",,"Y",,,
"J374i","plate1-6.1","plate1-6.1~J374i","J374i",,"Y",,,
"J375","plate1-6.1","plate1-6.1~J375","J375",,,,,"Y"
"J375-rep1","plate1-6.1","plate1-6.1~J375-rep1","J375",,,,,"Y"
"J376","plate1-6.1","plate1-6.1~J376","J376",,"Y",,,"Y"
"J376a","plate1-6.1","plate1-6.1~J376a","J376a",,"Y",,,
"J376a-rep","plate1-6.1","plate1-6.1~J376a-rep","J376a",,"Y",,,
"J376b","plate1-6.1","plate1-6.1~J376b","J376b",,"Y",,,
"J376c","plate1-6.1","plate1-6.1~J376c","J376c",,"Y",,,
"J376d","plate1-6.1","plate1-6.1~J376d","J376d",,"Y",,,
"J376e","plate1-6.1","plate1-6.1~J376e","J376e",,"Y",,,
"J376f","plate1-6.1","plate1-6.1~J376f","J376f",,"Y",,,
"J376g","plate1-6.1","plate1-6.1~J376g","J376g",,"Y",,,
"J376h","plate1-6.1","plate1-6.1~J376h","J376h",,"Y",,,
"J376i","plate1-6.1","plate1-6.1~J376i","J376i",,"Y",,,
"J377","plate1-6.1","plate1-6.1~J377","J377",,"Y",,,
"J377a","plate1-6.1","plate1-6.1~J377a","J377a",,"Y",,,
"J377b","plate1-6.1","plate1-6.1~J377b","J377b",,"Y",,,
"J377c","plate1-6.1","plate1-6.1~J377c","J377c",,"Y",,,
"J377d","plate1-6.1","plate1-6.1~J377d","J377d",,"Y",,,
"J377e","plate1-6.1","plate1-6.1~J377e","J377e",,"Y",,,
"J377e-rep","plate1-6.1","plate1-6.1~J377e-rep","J377e",,"Y",,,
"J377g","plate1-6.1","plate1-6.1~J377g","J377g",,"Y",,,
"J377h","plate1-6.1","plate1-6.1~J377h","J377h",,"Y",,,
"J377i","plate1-6.1","plate1-6.1~J377i","J377i",,"Y",,,
"J379","plate1-6.1","plate1-6.1~J379","J379",,,,,"Y"
"J381","plate1-6.1","plate1-6.1~J381","J381",,,,,"Y"
"J382a","plate1-6.1","plate1-6.1~J382a","J382a",,"Y",,,
"J382b","plate1-6.1","plate1-6.1~J382b","J382b",,"Y",,,
"J382c","plate1-6.1","plate1-6.1~J382c","J382c",,"Y",,,
"J382d","plate1-6.1","plate1-6.1~J382d","J382d",,"Y",,,
"J382e","plate1-6.1","plate1-6.1~J382e","J382e",,"Y",,,
"J382f","plate1-6.1","plate1-6.1~J382f","J382f",,"Y",,,
"J382g","plate1-6.1","plate1-6.1~J382g","J382g",,"Y",,,
"J382h","plate1-6.1","plate1-6.1~J382h","J382h",,"Y",,,
"J382i","plate1-6.1","plate1-6.1~J382i","J382i",,"Y",,,
"J383","plate1-6.1","plate1-6.1~J383","J383",,,,,"Y"
"J385","plate1-6.1","plate1-6.1~J385","J385",,"Y",,,"Y"
"J385-rep","plate1-6.1","plate1-6.1~J385-rep","J385",,"Y",,,"Y"
"J385a","plate1-6.1","plate1-6.1~J385a","J385a",,"Y",,,
"J385b","plate1-6.1","plate1-6.1~J385b","J385b",,"Y",,,
"J385c","plate1-6.1","plate1-6.1~J385c","J385c",,"Y",,,
"J385d","plate1-6.1","plate1-6.1~J385d","J385d",,"Y",,,
"J385e","plate1-6.1","plate1-6.1~J385e","J385e",,"Y",,,
"J385f","plate1-6.1","plate1-6.1~J385f","J385f",,"Y",,,
"J385g","plate1-6.1","plate1-6.1~J385g","J385g",,"Y",,,
"J385h","plate1-6.1","plate1-6.1~J385h","J385h",,"Y",,,
"J385i","plate1-6.1","plate1-6.1~J385i","J385i",,"Y",,,
"J386","plate1-6.1","plate1-6.1~J386","J386",,"Y",,,
"J386a","plate1-6.1","plate1-6.1~J386a","J386a",,"Y",,,
"J386b","plate1-6.1","plate1-6.1~J386b","J386b",,"Y",,,
"J386c","plate1-6.1","plate1-6.1~J386c","J386c",,"Y",,,
"J386d","plate1-6.1","plate1-6.1~J386d","J386d",,"Y",,,
"J386e","plate1-6.1","plate1-6.1~J386e","J386e",,"Y",,,
"J386f","plate1-6.1","plate1-6.1~J386f","J386f",,"Y",,,
"J386g","plate1-6.1","plate1-6.1~J386g","J386g",,"Y",,,
"J386h","plate1-6.1","plate1-6.1~J386h","J386h",,"Y",,,
"J386i","plate1-6.1","plate1-6.1~J386i","J386i",,"Y",,,
"J387","plate1-6.1","plate1-6.1~J387","J387",,"Y",,,"Y"
"J387a","plate1-6.1","plate1-6.1~J387a","J387a",,"Y",,,
"J387b","plate1-6.1","plate1-6.1~J387b","J387b",,"Y",,,
"J387c","plate1-6.1","plate1-6.1~J387c","J387c",,"Y",,,
"J387d","plate1-6.1","plate1-6.1~J387d","J387d",,"Y",,,
"J387e","plate1-6.1","plate1-6.1~J387e","J387e",,"Y",,,
"J387f","plate1-6.1","plate1-6.1~J387f","J387f",,"Y",,,
"J387g","plate1-6.1","plate1-6.1~J387g","J387g",,"Y",,,
"J387h","plate1-6.1","plate1-6.1~J387h","J387h",,"Y",,,
"J387i","plate1-6.1","plate1-6.1~J387i","J387i",,"Y",,,
"J388","plate1-6.1","plate1-6.1~J388","J388",,"Y",,,
"J388a","plate1-6.1","plate1-6.1~J388a","J388a",,"Y",,,
"J388b","plate1-6.1","plate1-6.1~J388b","J388b",,"Y",,,
"J388c","plate1-6.1","plate1-6.1~J388c","J388c",,"Y",,,
"J388d","plate1-6.1","plate1-6.1~J388d","J388d",,"Y",,,
"J388e","plate1-6.1","plate1-6.1~J388e","J388e",,"Y",,,
"J388f","plate1-6.1","plate1-6.1~J388f","J388f",,"Y",,,
"J388g","plate1-6.1","plate1-6.1~J388g","J388g",,"Y",,,
"J388h","plate1-6.1","plate1-6.1~J388h","J388h",,"Y",,,
"J388i","plate1-6.1","plate1-6.1~J388i","J388i",,"Y",,,
"J389","plate1-6.1","plate1-6.1~J389","J389",,,,,"Y"
"J390","plate1-6.1","plate1-6.1~J390","J390",,"Y",,,
"J390a","plate1-6.1","plate1-6.1~J390a","J390a",,"Y",,,
"J390a-rep","plate1-6.1","plate1-6.1~J390a-rep","J390a",,"Y",,,
"J390b","plate1-6.1","plate1-6.1~J390b","J390b",,"Y",,,
"J392","plate1-6.1","plate1-6.1~J392","J392",,,,,"Y"
"J393","plate1-6.1","plate1-6.1~J393","J393",,,,,"Y"
"J393a","plate1-6.1","plate1-6.1~J393a","J393a",,"Y",,,
"J393b","plate1-6.1","plate1-6.1~J393b","J393b",,"Y",,,
"J393c","plate1-6.1","plate1-6.1~J393c","J393c",,"Y",,,
"J393d","plate1-6.1","plate1-6.1~J393d","J393d",,"Y",,,
"J393e","plate1-6.1","plate1-6.1~J393e","J393e",,"Y",,,
"J393f","plate1-6.1","plate1-6.1~J393f","J393f",,"Y",,,
"J393g","plate1-6.1","plate1-6.1~J393g","J393g",,"Y",,,
"J393h","plate1-6.1","plate1-6.1~J393h","J393h",,"Y",,,
"J393i","plate1-6.1","plate1-6.1~J393i","J393i",,"Y",,,
"J394","plate1-6.1","plate1-6.1~J394","J394",,"Y",,,
"J394a","plate1-6.1","plate1-6.1~J394a","J394a",,"Y",,,
"J394b","plate1-6.1","plate1-6.1~J394b","J394b",,"Y",,,
"J394c","plate1-6.1","plate1-6.1~J394c","J394c",,"Y",,,
"J394d","plate1-6.1","plate1-6.1~J394d","J394d",,"Y",,,
"J394e","plate1-6.1","plate1-6.1~J394e","J394e",,"Y",,,
"J394f","plate1-6.1","plate1-6.1~J394f","J394f",,"Y",,,
"J394g","plate1-6.1","plate1-6.1~J394g","J394g",,"Y",,,
"J395","plate1-6.1","plate1-6.1~J395","J395",,"Y",,,"Y"
"J395A","plate1-6.1","plate1-6.1~J395A","J395a",,"Y",,,"Y"
"J395B","plate1-6.1","plate1-6.1~J395B","J395b",,"Y",,,
"J395C","plate1-6.1","plate1-6.1~J395C","J395c",,"Y",,,
"J395D","plate1-6.1","plate1-6.1~J395D","J395d",,"Y",,,
"J395E","plate1-6.1","plate1-6.1~J395E","J395e",,"Y",,,
