"libname","sample"
"J389-WGS","J389"
"J389-NextRAD","J389"
"J388i","J388i"
"J388h","J388h"
"J388g","J388g"
"J388f","J388f"
"J388e","J388e"
"J388d","J388d"
"J388c","J388c"
"J388b","J388b"
"J388a","J388a"
"J388","J388"
"J387i","J387i"
"J387h","J387h"
"J387g","J387g"
"J387f","J387f"
"J387e","J387e"
"J387d","J387d"
"J387c","J387c"
"J387b","J387b"
"J387a","J387a"
"J387","J387"
"J387-WGS","J387"
"J387-NextRAD","J387"
"J386i","J386i"
"J386h","J386h"
"J386g","J386g"
"J386f","J386f"
"J386e","J386e"
"J386d","J386d"
"J386c","J386c"
"J386b","J386b"
"J386a","J386a"
"J386","J386"
"J385i","J385i"
"J385h","J385h"
"J385g","J385g"
"J385f","J385f"
"J385e","J385e"
"J385d","J385d"
"J385c","J385c"
"J385b","J385b"
"J385a","J385a"
"J385","J385"
"J385-WGS","J385"
"J385-NextRAD","J385"
"J385rep","J385"
"J385-rep","J385"
"J383","J383"
"J383-WGS","J383"
"J383-NextRAD","J383"
"J382i","J382i"
"J382h","J382h"
"J382g","J382g"
"J382f","J382f"
"J382e","J382e"
"J382d","J382d"
"J382c","J382c"
"J382b","J382b"
"J382a","J382a"
"J381","J381"
"J381-WGS","J381"
"J381-NextRAD","J381"
"J379","J379"
"J379-WGS","J379"
"J379-NextRAD","J379"
"J377i","J377i"
"J377h","J377h"
"J377g","J377g"
"J377e","J377e"
"J377erep","J377e"
"J377e-rep","J377e"
"J377d","J377d"
"J377c","J377c"
"J377b","J377b"
"J377a","J377a"
"J377","J377"
"J376i","J376i"
"J376h","J376h"
"J376g","J376g"
"J376f","J376f"
"J376e","J376e"
"J376d","J376d"
"J376c","J376c"
"J376b","J376b"
"J376a","J376a"
"J376a-rep","J376a"
"J376arep","J376a"
"J376","J376"
"J376-WGS","J376"
"J376-NextRAD","J376"
"J375","J375"
"J375-rep1","J375"
"J375-WGS","J375"
"J375-NextRAD","J375"
"J375rep1","J375"
"J374i","J374i"
"J374h","J374h"
"J374g","J374g"
"J374f","J374f"
"J374e","J374e"
"J374d","J374d"
"J374c","J374c"
"J374b","J374b"
"J374a","J374a"
"J374","J374"
"J374-WGS","J374"
"J374-NextRAD","J374"
"J373","J373"
"J373-WGS","J373"
"J373-NextRAD","J373"
"J372","J372"
"J372-WGS","J372"
"J372-NextRAD","J372"
"J371","J371"
"J371-WGS","J371"
"J371-NextRAD","J371"
"J370","J370"
"J370-WGS","J370"
"J370-NextRAD","J370"
"J369","J369"
"J369-WGS","J369"
"J369-NextRAD","J369"
"J368","J368"
"J368-WGS","J368"
"J368-NextRAD","J368"
"J367i","J367i"
"J367i-WGS","J367i"
"J367i-NextRAD","J367i"
"J367h","J367h"
"J367g","J367g"
"J367f","J367f"
"J367e","J367e"
"J367d","J367d"
"J367c","J367c"
"J367b","J367b"
"J367a","J367a"
"J367","J367"
"J367-WGS","J367"
"J367-NextRAD","J367"
"J366","J366"
"J366_plus","J366"
"J366-plus-WGS","J366"
"J366-WGS","J366"
"J366-NextRAD","J366"
"J366-plus-NextRAD","J366"
"J365","J365"
"J365-WGS","J365"
"J365-NextRAD","J365"
"J364","J364"
"J364-WGS","J364"
"J364-NextRAD","J364"
"J363_plus","J363"
"J363","J363"
"J363-WGS","J363"
"J363-plus-WGS","J363"
"J363-plus-NextRAD","J363"
"J363-NextRAD","J363"
"J362b","J362b"
"J362a","J362a"
"J362_young","J362"
"J362","J362"
"J362-young-WGS","J362"
"J362-young-NextRAD","J362"
"J361i","J361i"
"J361h","J361h"
"J361g","J361g"
"J361f","J361f"
"J361e","J361e"
"J361d","J361d"
"J361c","J361c"
"J361b","J361b"
"J361a","J361a"
"J361","J361"
"J361-WGS","J361"
"J361-NextRAD","J361"
"J360","J360"
"J360-WGS","J360"
"J360-NextRAD","J360"
"J359i","J359i"
"J359h","J359h"
"J359g","J359g"
"J359e","J359e"
"J359d","J359d"
"J359c","J359c"
"J359b","J359b"
"J359a","J359a"
"J359","J359"
"J359-WGS","J359"
"J359-NextRAD","J359"
"J358","J358"
"J358-WGS","J358"
"J358-NextRAD","J358"
"J357","J357"
"J357-WGS","J357"
"J357-NextRAD","J357"
"J355g","J355g"
"J355f","J355f"
"J355e","J355e"
"J355d","J355d"
"J355c","J355c"
"J355b","J355b"
"J355b-WGS","J355b"
"J355b-NextRAD","J355b"
"J355a","J355a"
"J355","J355"
"J355-WGS","J355"
"J355-NextRAD","J355"
"J354","J354"
"J354-WGS","J354"
"J354-NextRAD","J354"
"J353","J353"
"J353-WGS","J353"
"J353-NextRAD","J353"
"J352i","J352i"
"J352h","J352h"
"J352g","J352g"
"J352f","J352f"
"J352e","J352e"
"J352d","J352d"
"J352c","J352c"
"J352b","J352b"
"J352a","J352a"
"J352","J352"
"J352-WGS","J352"
"J352-NextRAD","J352"
"J351_plus","J351"
"J351","J351"
"J351-WGS","J351"
"J351-plus-WGS","J351"
"J351-plus-NextRAD","J351"
"J351-NextRAD","J351"
"J350i","J350i"
"J350h","J350h"
"J350g","J350g"
"J350f","J350f"
"J350e","J350e"
"J350d","J350d"
"J350c","J350c"
"J350b","J350b"
"J350a","J350a"
"J350","J350"
"J350-WGS","J350"
"J350-NextRAD","J350"
"J349j","J349j"
"J349i","J349i"
"J349h","J349h"
"J349g","J349g"
"J349f","J349f"
"J349e","J349e"
"J349d","J349d"
"J349b","J349b"
"J349a","J349a"
"J349","J349"
"J349-WGS","J349"
"J349-NextRAD","J349"
"J348","J348"
"J348-WGS","J348"
"J348-NextRAD","J348"
"J347","J347"
"J347-WGS","J347"
"J347-NextRAD","J347"
"J346","J346"
"J346-WGS","J346"
"J346-NextRAD","J346"
"J345d","J345d"
"J345a","J345a"
"J345","J345"
"J345-plus-WGS","J345"
"J345-WGS","J345"
"J345-plus-NextRAD","J345"
"J345-NextRAD","J345"
"J345_plus","J345"
"J344","J344"
"J344-WGS","J344"
"J344-NextRAD","J344"
"J343","J343"
"J343-WGS","J343"
"J343-NextRAD","J343"
"J342d","J342d"
"J342c","J342c"
"J342b","J342b"
"J342a","J342a"
"J342a-rep","J342a"
"J342arep","J342a"
"J342","J342"
"J342-WGS","J342"
"J342-NextRAD","J342"
"J341d","J341d"
"J341c","J341c"
"J341b","J341b"
"J341a","J341a"
"J341","J341"
"J341-WGS","J341"
