"library","run","Include","seq.notes"
"J328","plate1-6.0","Y",
"J328","plate1-6.1","Y",
"J328","plate1-6.2","Y",
"J328-NextRAD","plate1.1","Y",
"J328-WGS","plate1.1","Y",
"J328-WGS","plate1.2","Y",
"J329","plate1-6.0","Y",
"J329","plate1-6.1","Y",
"J329","plate1-6.2","Y",
"J329-NextRAD","plate1.1","Y",
"J329-WGS","plate1.1","Y",
"J329-WGS","plate1.2","Y",
"J330","plate1-6.0","Y",
"J330","plate1-6.1","Y",
"J330","plate1-6.2","Y",
"J330-NextRAD","plate1.1","Y",
"J330-WGS","plate1.1","Y",
"J330-WGS","plate1.2","Y",
"J331","plate1-6.0","Y",
"J331","plate1-6.1","Y",
"J331","plate1-6.2","Y",
"J331-NextRAD","plate1.1","Y",
"J331-WGS","plate1.1","Y",
"J331-WGS","plate1.2","Y",
"J333","plate1-6.0","Y",
"J333","plate1-6.1","Y",
"J333","plate1-6.2","Y",
"J333_plus","plate1-6.0","Y",
"J333_plus","plate1-6.1","Y",
"J333_plus","plate1-6.2","Y",
"J333-NextRAD","plate1.1","Y",
"J333-plus-NextRAD","plate1.1","Y",
"J333-plus-WGS","plate1.1","Y",
"J333-plus-WGS","plate1.2","Y",
"J333-WGS","plate1.1","Y",
"J333-WGS","plate1.2","Y",
"J333a","plate1-6.0","Y",
"J333a","plate1-6.1","Y",
"J333a","plate1-6.2","Y",
"J333a","plate2","Y",
"J334","plate1-6.0","Y",
"J334","plate1-6.1","Y",
"J334","plate1-6.2","Y",
"J334-NextRAD","plate1.1","Y",
"J334-WGS","plate1.1","Y",
"J334-WGS","plate1.2","Y",
"J335","plate1-6.0","Y",
"J335","plate1-6.1","Y",
"J335","plate1-6.2","Y",
"J335-NextRAD","plate1.1","Y",
"J335-WGS","plate1.1","Y",
"J335-WGS","plate1.2","Y",
"J338","plate1-6.0","Y",
"J338","plate1-6.1","Y",
"J338","plate1-6.2","Y",
"J338-NextRAD","plate1.1","Y",
"J338-WGS","plate1.1","Y",
"J338-WGS","plate1.2","Y",
"J339","plate1-6.0","Y",
"J339","plate1-6.1","Y",
"J339","plate1-6.2","Y",
"J339-NextRAD","plate1.1","Y",
"J339-WGS","plate1.1","Y",
"J339-WGS","plate1.2","Y",
"J340","plate1-6.0","Y",
"J340","plate1-6.1","Y",
"J340","plate1-6.2","Y",
"J340-NextRAD","plate1.1","Y",
"J340-WGS","plate1.1","Y",
"J340-WGS","plate1.2","Y",
"J341","plate1-6.0","Y",
"J341","plate1-6.1","Y",
"J341","plate1-6.2","Y",
"J341-NextRAD","plate1.1","Y",
"J341-WGS","plate1.1","Y",
"J341-WGS","plate1.2","Y",
"J341a","plate1-6.0","Y",
"J341a","plate1-6.1","Y",
"J341a","plate1-6.2","Y",
"J341b","plate1-6.0","Y",
"J341b","plate1-6.1","Y",
"J341b","plate1-6.2","Y",
"J341c","plate1-6.0","Y",
"J341c","plate1-6.1","Y",
"J341c","plate1-6.2","Y",
"J341d","plate1-6.0","Y",
"J341d","plate1-6.1","Y",
"J341d","plate1-6.2","Y",
"J342","plate1-6.0","Y",
"J342","plate1-6.1","Y",
"J342","plate1-6.2","Y",
"J342-NextRAD","plate1.1","Y",
"J342-WGS","plate1.1","Y",
"J342-WGS","plate1.2","Y",
"J342a","plate1-6.0","Y",
"J342a","plate1-6.1","Y",
"J342a","plate1-6.2","Y",
"J342a-rep","plate1-6.0","Y",
"J342a-rep","plate1-6.1","Y",
"J342arep","plate1-6.2","Y",
"J342b","plate1-6.0","Y",
"J342b","plate1-6.1","Y",
"J342b","plate1-6.2","Y",
"J342c","plate1-6.0","Y",
"J342c","plate1-6.1","Y",
"J342c","plate1-6.2","Y",
"J342d","plate1-6.0","Y",
"J342d","plate1-6.1","Y",
"J342d","plate1-6.2","Y",
"J343","plate1-6.0","Y",
"J343","plate1-6.1","Y",
"J343","plate1-6.2","Y",
"J343-NextRAD","plate1.1","Y",
"J343-WGS","plate1.1","Y",
"J343-WGS","plate1.2","Y",
"J344","plate1-6.0","Y",
"J344","plate1-6.1","Y",
"J344","plate1-6.2","Y",
"J344-NextRAD","plate1.1","Y",
"J344-WGS","plate1.1","Y",
"J344-WGS","plate1.2","Y",
"J345","plate1-6.0","Y",
"J345","plate1-6.1","Y",
"J345","plate1-6.2","Y",
"J345_plus","plate1-6.0","Y",
"J345_plus","plate1-6.1","Y",
"J345_plus","plate1-6.2","Y",
"J345-NextRAD","plate1.1","Y",
"J345-plus-NextRAD","plate1.1","Y",
"J345-plus-WGS","plate1.1","Y",
"J345-plus-WGS","plate1.2","Y",
"J345-WGS","plate1.1","Y",
"J345-WGS","plate1.2","Y",
"J345a","plate1-6.0","Y",
"J345a","plate1-6.1","Y",
"J345a","plate1-6.2","Y",
"J345b","oxley.1","Y",
"J345c","oxley.1","Y",
"J345d","plate1-6.0","Y",
"J345d","plate1-6.1","Y",
"J345d","plate1-6.2","Y",
"J346","plate1-6.0","Y",
"J346","plate1-6.1","Y",
"J346","plate1-6.2","Y",
"J346-NextRAD","plate1.1","Y",
"J346-WGS","plate1.1","Y",
"J346-WGS","plate1.2","Y",
"J347","plate1-6.0","Y",
"J347","plate1-6.1","Y",
"J347","plate1-6.2","Y",
"J347-NextRAD","plate1.1","Y",
"J347-WGS","plate1.1","Y",
"J347-WGS","plate1.2","Y",
"J348","plate1-6.0","Y",
"J348","plate1-6.1","Y",
"J348","plate1-6.2","Y",
"J348-NextRAD","plate1.1","Y",
"J348-WGS","plate1.1","Y",
"J348-WGS","plate1.2","Y",
"J349","oxley.1","Y",
"J349","plate1-6.0","Y",
"J349","plate1-6.1","Y",
"J349","plate1-6.2","Y",
"J349-NextRAD","plate1.1","Y",
"J349-WGS","plate1.1","Y",
"J349-WGS","plate1.2","Y",
"J349a","plate1-6.0","Y",
"J349a","plate1-6.1","Y",
"J349a","plate1-6.2","Y",
"J349b","plate1-6.0","Y",
"J349b","plate1-6.1","Y",
"J349b","plate1-6.2","Y",
"J349d","plate1-6.0","Y",
"J349d","plate1-6.1","Y",
"J349d","plate1-6.2","Y",
"J349e","plate1-6.0","Y",
"J349e","plate1-6.1","Y",
"J349e","plate1-6.2","Y",
"J349f","plate1-6.0","Y",
"J349f","plate1-6.1","Y",
"J349f","plate1-6.2","Y",
"J349g","plate1-6.0","Y",
"J349g","plate1-6.1","Y",
