filename	unique_kmers	kmersize
data/reads/qc/J422f.fastq.gz	590050950	31
data/reads/qc/J374g.fastq.gz	500204721	31
data/reads/qc/M2b.fastq.gz	59766224	31
data/reads/qc/J367f.fastq.gz	594669039	31
data/reads/qc/J436c.fastq.gz	472603291	31
data/reads/qc/J436a.fastq.gz	646440938	31
data/reads/qc/J405a.fastq.gz	654907278	31
data/reads/qc/J429b.fastq.gz	427298519	31
data/reads/qc/J349b.fastq.gz	646449320	31
data/reads/qc/J419a.fastq.gz	601722433	31
data/reads/qc/J341d.fastq.gz	561920237	31
data/reads/qc/J376e.fastq.gz	640071035	31
data/reads/qc/NDU10.fastq.gz	244099990	31
data/reads/qc/J413a.fastq.gz	410035484	31
data/reads/qc/J418e.fastq.gz	391070229	31
data/reads/qc/J368.fastq.gz	498523625	31
data/reads/qc/J359c.fastq.gz	723377026	31
data/reads/qc/J406a.fastq.gz	317061373	31
data/reads/qc/J301.fastq.gz	861369199	31
data/reads/qc/NCR13.fastq.gz	335340406	31
data/reads/qc/J374c.fastq.gz	445983756	31
data/reads/qc/J364.fastq.gz	868651670	31
data/reads/qc/J376f.fastq.gz	483521671	31
data/reads/qc/J377i.fastq.gz	562232159	31
data/reads/qc/J405f.fastq.gz	542829151	31
data/reads/qc/J401b.fastq.gz	579667519	31
data/reads/qc/TLC720.fastq.gz	770252852	31
data/reads/qc/J424d.fastq.gz	418094689	31
data/reads/qc/J386g.fastq.gz	590927294	31
data/reads/qc/J298.fastq.gz	1022945210	31
data/reads/qc/J406e.fastq.gz	270764599	31
data/reads/qc/J352g.fastq.gz	713269240	31
data/reads/qc/NE4583.fastq.gz	14124100	31
data/reads/qc/J350.fastq.gz	810113925	31
data/reads/qc/J436d.fastq.gz	558425509	31
data/reads/qc/J430i.fastq.gz	545820400	31
data/reads/qc/NE25923.fastq.gz	17945699	31
data/reads/qc/J367g.fastq.gz	549357199	31
data/reads/qc/J401h.fastq.gz	648652920	31
data/reads/qc/J358.fastq.gz	609664283	31
data/reads/qc/J367a.fastq.gz	497950797	31
data/reads/qc/J376g.fastq.gz	445488890	31
data/reads/qc/J385f.fastq.gz	646425710	31
data/reads/qc/J381.fastq.gz	517588796	31
data/reads/qc/J405e.fastq.gz	624949328	31
data/reads/qc/J350f.fastq.gz	538434442	31
data/reads/qc/J424a.fastq.gz	632308838	31
data/reads/qc/J388f.fastq.gz	602939705	31
data/reads/qc/J430.fastq.gz	646708951	31
data/reads/qc/J345.fastq.gz	1091186414	31
data/reads/qc/J413c.fastq.gz	559602702	31
data/reads/qc/J359h.fastq.gz	415386447	31
data/reads/qc/J349f.fastq.gz	676010870	31
data/reads/qc/J405.fastq.gz	382714840	31
data/reads/qc/J355f.fastq.gz	587910274	31
data/reads/qc/J430c.fastq.gz	694970111	31
data/reads/qc/J416d.fastq.gz	638130169	31
data/reads/qc/J406f.fastq.gz	652124653	31
data/reads/qc/J420.fastq.gz	307864755	31
data/reads/qc/J393.fastq.gz	784793963	31
data/reads/qc/J397.fastq.gz	108874276	31
data/reads/qc/J414a.fastq.gz	380944942	31
data/reads/qc/J414.fastq.gz	743326507	31
data/reads/qc/J345d.fastq.gz	600380648	31
data/reads/qc/J435c.fastq.gz	492170646	31
data/reads/qc/J430e.fastq.gz	616804452	31
data/reads/qc/J431.fastq.gz	473754200	31
data/reads/qc/J404.fastq.gz	361780603	31
data/reads/qc/J436e.fastq.gz	456574621	31
data/reads/qc/J406i.fastq.gz	641295903	31
data/reads/qc/J386.fastq.gz	460273018	31
data/reads/qc/J419c.fastq.gz	643167495	31
data/reads/qc/J355e.fastq.gz	555563057	31
data/reads/qc/J399.fastq.gz	325531316	31
data/reads/qc/J302.fastq.gz	576183875	31
data/reads/qc/J416.fastq.gz	529378491	31
data/reads/qc/J394a.fastq.gz	357937456	31
data/reads/qc/J418b.fastq.gz	671328694	31
data/reads/qc/J343.fastq.gz	746139339	31
data/reads/qc/J362.fastq.gz	499378956	31
data/reads/qc/J387a.fastq.gz	606596060	31
data/reads/qc/blank_51.fastq.gz	9267607	31
