"ID","Species.orig","Latitude","Longitude","Location","Species"
"J350","Eucalyptus albens",-35.2456,147.68083,"Tarcutta, Mates Gully Rd.","Eucalyptus albens"
"J351","Eucalyptus polyanthemos (juv micro?)",-35.25609,147.68506,"Tarcutta, Mates Gully Rd.","Eucalyptus polyanthemos"
"J352","Eucalyptus sideroxylon",-35.25665,147.68486,"Tarcutta, Mates Gully Rd.","Eucalyptus sideroxylon"
"J353","Eucalyptus polyanthemos",-35.8453,147.19722,"Blue Metal Rest Area, M31","Eucalyptus polyanthemos"
"J354","Eucalyptus moluccana",-35.84469,147.19794,"Blue Metal Rest Area, M31","Eucalyptus moluccana"
"J355","Eucalyptus sideroxylon",-36.09264,146.61917,"Chiltern, Chiltern-Howlong Rd.","Eucalyptus sideroxylon"
"J355b","Hybrid? Sider x micro",-36.08961,146.62105,"Chiltern, Chiltern-Howlong Rd.","Hybrid? Sider x micro"
"J356","Eucalyptus microcarpa (?)",-36.09272,146.61929,"Chiltern, Chiltern-Howlong Rd.","Eucalyptus microcarpa"
"J357","Eucalyptus melliodora",-36.019,146.29446,"Collendina State Forest, Spring Dr.","Eucalyptus melliodora"
"J358","Eucalyptus melliodora",-35.38973,146.35303,"Urana, Walbundrie Rd.","Eucalyptus melliodora"
"J359","Eucalyptus sideroxylon",-34.47594,147.40941,"Ingalba Nature Reserve, Hwy 94","Eucalyptus sideroxylon"
"J360","Eucalyptus conica",-34.01205,148.12904,"Orange, Old Forbes Rd.","Eucalyptus conica"
"J361","Eucalyptus albens",-33.42118,148.51154,"Nangar Natl Park, Dripping Rock Rd.","Eucalyptus albens"
"J362","Eucalyptus sideroxylon",-33.42108,148.51126,"Nangar Natl Park, Dripping Rock Rd.","Eucalyptus sideroxylon"
"J363","Eucalyptus microcarpa",-33.41328,148.22136,"Eugowra, Escort Way","Eucalyptus microcarpa"
"J364","Eucalyptus conica",-33.41328,148.22136,"Eugowra, Escort Way","Eucalyptus conica"
"J365","Eucalyptus melliodora",-33.31832,148.97163,"Glenwood State Forest, Cargo Rd.","Eucalyptus melliodora"
"J366","Eucalyptus fibrosa",-33.12436,150.01617,"Gardens of Stone Natl Park, Glen Davis Rd.","Eucalyptus fibrosa"
"J367","Eucalyptus sideroxylon",-30.5285,151.15897,"Uralla-Kingstown Rd, Kingstown","Eucalyptus sideroxylon"
"J367G","Eucalyptus sideroxylon",-30.5285,151.15897,"Uralla-Kingstown Rd, Kingstown","Eucalyptus sideroxylon"
"J367I","Hybrid? Sider x moluc",-30.52474,151.15401,"Uralla-Kingstown Rd, Kingstown","Hybrid? Sider x moluc"
"J368","Eucalyptus caleyi",-30.57301,151.09172,"Kingstwon-Retreat Rd, Kingstown","Eucalyptus caleyi"
"J369","Eucalyptus caleyi",-30.07144,151.09796,"Thunderbolts Way, Bundarra","Eucalyptus caleyi"
"J369A","Eucalyptus caleyi",-30.07144,151.09796,"Thunderbolts Way, Bundarra","Eucalyptus caleyi"
"J370","Eucalyptus fibrosa",-32.62925,151.87758,"Bucketts Way, Stroud Road","Eucalyptus fibrosa"
"J371","Eucalyptus fibrosa",-32.23292,151.93147,"Bucketts Way, Wards River","Eucalyptus fibrosa"
"NAL05","Eucalyptus microcarpa",-32.3742,147.4871,"Melrose-Trangie Rd, Albert Murrumbidgee NP","Eucalyptus microcarpa"
"NBJ30","Eucalyptus microcarpa",-35.05268,147.0439,"Berry Jerry State Forest","Eucalyptus microcarpa"
"NCD30","Eucalyptus microcarpa",-32.89835,147.05836,"Condobolin","Eucalyptus microcarpa"
"NCR13","Eucalyptus microcarpa",-34.08362,148.51941,"Crowther","Eucalyptus microcarpa"
"NCR37","Eucalyptus microcarpa",-34.08949,148.51412,"Crowther","Eucalyptus microcarpa"
"NDU10","Eucalyptus microcarpa",-32.32624,148.51287,"Dubbo","Eucalyptus microcarpa"
"FDK01","Eucalyptus microcarpa",-36.32987,145.70606,"Dookie (private property)","Eucalyptus microcarpa"
