"ID","Species.orig","Latitude","Longitude","Location","Species","state","location","sp.short","species","ser.short","series"
"J329","Eucalyptus conica",-28.41028,152.29292,"Legume, Mt Lindsay Rd","Eucalyptus conica","NSW","Legume","con","conica","hetero","heterophloiae"
"J338","Eucalyptus conica",-29.15425,152.00211,"Tenterfield, Bluff rock lookout","Eucalyptus conica","NSW","Tenterfield","con","conica","hetero","heterophloiae"
"J360","Eucalyptus conica",-34.01205,148.12904,"Orange, Old Forbes Rd.","Eucalyptus conica","NSW","Orange","con","conica","hetero","heterophloiae"
"J364","Eucalyptus conica",-33.41328,148.22136,"Eugowra, Escort Way","Eucalyptus conica","NSW","Eugowra","con","conica","hetero","heterophloiae"
"TLC715","Eucalyptus conica",-28.68758,151.96238,"Storm King","Eucalyptus conica","QLD","Storm King","con","conica","hetero","heterophloiae"
"TLC720","Eucalyptus conica",-29.06569,151.98833,"Tenterfield","Eucalyptus conica","NSW","Tenterfield ","con","conica","hetero","heterophloiae"
"TLC725","Eucalyptus conica",-29.60563,151.86797,"Dundee","Eucalyptus conica","NSW","Dundee","con","conica","hetero","heterophloiae"
"TLC726","Eucalyptus conica",-30.28358,151.19619,"Abington","Eucalyptus conica","NSW","Abington","con","conica","hetero","heterophloiae"
"TLC775","Eucalyptus conica",-28.39502,151.31197,"Inglewood","Eucalyptus conica","QLD","Inglewood ","con","conica","hetero","heterophloiae"
"J344","Eucalyptus polyanthemos",-35.33962,148.91113,"Pierces Creek State Forest, Vanitys Crossing","Eucalyptus polyanthemos","ACT","Pierces Creek","poly","polyanthemos","hetero","heterophloiae"
"J347","Eucalyptus polyanthemos",-35.09381,148.74881,"Wee Jasper, Doctors Flat Rd.","Eucalyptus polyanthemos","NSW","Wee Jasper","poly","polyanthemos","hetero","heterophloiae"
"J348","Eucalyptus polyanthemos",-35.24184,148.29729,"Wee Jasper, Wee Jasper Rd.","Eucalyptus polyanthemos","NSW","Wee Jasper","poly","polyanthemos","hetero","heterophloiae"
"J351","Eucalyptus polyanthemos (juv micro?)",-35.25609,147.68506,"Tarcutta, Mates Gully Rd.","Eucalyptus polyanthemos","NSW","Tarcutta","poly","polyanthemos","hetero","heterophloiae"
"J353","Eucalyptus polyanthemos",-35.8453,147.19722,"Blue Metal Rest Area, M31","Eucalyptus polyanthemos","NSW","Blue Metal","poly","polyanthemos","hetero","heterophloiae"
"J372","Eucalyptus polyanthemos",-37.60536,146.64015,"Licola, Tamboritha Rd","Eucalyptus polyanthemos","VIC","Licola","poly","polyanthemos","hetero","heterophloiae"
"J379","Eucalyptus polyanthemos (?)",-36.94525,149.4919,"Bombala","Eucalyptus polyanthemos","VIC","Bombala","poly","polyanthemos","hetero","heterophloiae"
"J381","Eucalyptus polyanthemos",-37.3619,149.66098,"Bruthen","Eucalyptus polyanthemos","VIC","Bruthen","poly","polyanthemos","hetero","heterophloiae"
"J383","Eucalyptus polyanthemos (?)",-36.31995,146.84286,"Yambuck","Eucalyptus polyanthemos","VIC","Yambuck","poly","polyanthemos","hetero","heterophloiae"
"J389","Eucalyptus polyanthemos",-36.60631,145.92644,"Reef Road State Park","Eucalyptus polyanthemos","VIC","Reef Road","poly","polyanthemos","hetero","heterophloiae"
"J397","Eucalyptus leucoxylon",-37.28408,141.18732,"Dergholm State Park","Eucalyptus leucoxylon","VIC","Dergholm","leuc","leucoxylon","mellio","melliodorae"
"J398","Eucalyptus leucoxylon",-37.22194,142.04807,"Cherrypool, Rockland Reservoir","Eucalyptus leucoxylon","VIC","Cherrypool","leuc","leucoxylon","mellio","melliodorae"
"J399","Eucalyptus leucoxylon",-37.1632,144.08661,"Castlemaine","Eucalyptus leucoxylon","VIC","Castlemaine","leuc","leucoxylon","mellio","melliodorae"
"J296","Eucalyptus melliodora",-30.65167,150.87812,"Namoi River, Dunmore Rd","Eucalyptus melliodora","NSW","Namoi River","mel","melliodora","mellio","melliodorae"
"J318","Eucalyptus melliodora",-31.37365,151.13779,"Chaffey Dam, Tamworth Nundle Rd","Eucalyptus melliodora","NSW","Chaffey Dam","mel","melliodora","mellio","melliodorae"
"J319","Eucalyptus melliodora",-31.55948,151.05664,"Nundle, Crawney Rd","Eucalyptus melliodora","NSW","Nundle","mel","melliodora","mellio","melliodorae"
"J340","Eucalyptus melliodora",-29.45577,151.55405,"Emmaville, Strathbogie Rd","Eucalyptus melliodora","NSW","Emmaville","mel","melliodora","mellio","melliodorae"
"J346","Eucalyptus melliodora",-35.06954,148.83661,"Mullion, Mountain Creek Rd.","Eucalyptus melliodora","NSW","Mullion","mel","melliodora","mellio","melliodorae"
"J357","Eucalyptus melliodora",-36.019,146.29446,"Collendina State Forest, Spring Dr.","Eucalyptus melliodora","NSW","Collendina","mel","melliodora","mellio","melliodorae"
"J358","Eucalyptus melliodora",-35.38973,146.35303,"Urana, Walbundrie Rd.","Eucalyptus melliodora","NSW","Urana","mel","melliodora","mellio","melliodorae"
"J365","Eucalyptus melliodora",-33.31832,148.97163,"Glenwood State Forest, Cargo Rd.","Eucalyptus melliodora","NSW","Gelnwood","mel","melliodora","mellio","melliodorae"
"J373","Eucalyptus melliodora",-37.46662,147.83218,"Doctors Flat","Eucalyptus melliodora","VIC","Doctors Flat","mel","melliodora","mellio","melliodorae"
"J375","Eucalyptus melliodora",-37.40165,148.21443,"Buchan","Eucalyptus melliodora","VIC","Buchan","mel","melliodora","mellio","melliodorae"
"M1a",NA,NA,NA,NA,NA,"NSW","Yeoval","mel","melliodora","mellio","melliodorae"
"M1b",NA,NA,NA,NA,NA,"NSW","Yeoval","mel","melliodora","mellio","melliodorae"
"M1c",NA,NA,NA,NA,NA,"NSW","Yeoval","mel","melliodora","mellio","melliodorae"
"J298","Eucalyptus sideroxylon",-30.15277,151.07437,"Bundarra, Thunderbolts Way","Eucalyptus sideroxylon","NSW","Bundarra","sider","sideroxylon","mellio","melliodorae"
"J301","Eucalyptus sideroxylon",-29.80812,150.91918,"Gum Flat, Copeton Dam Rd","Eucalyptus sideroxylon","NSW","Gum Flat","sider","sideroxylon","mellio","melliodorae"
"J342","Eucalyptus sideroxylon",-29.39087,151.39279,"Yellow Dam, Emmaville Rd","Eucalyptus sideroxylon","NSW","Yellow Dam","sider","sideroxylon","mellio","melliodorae"
"J352","Eucalyptus sideroxylon",-35.25665,147.68486,"Tarcutta, Mates Gully Rd.","Eucalyptus sideroxylon","NSW","Tarcutta","sider","sideroxylon","mellio","melliodorae"
"J355","Eucalyptus sideroxylon",-36.09264,146.61917,"Chiltern, Chiltern-Howlong Rd.","Eucalyptus sideroxylon","VIC","Chiltern","sider","sideroxylon","mellio","melliodorae"
"J359","Eucalyptus sideroxylon",-34.47594,147.40941,"Ingalba Nature Reserve, Hwy 94","Eucalyptus sideroxylon","NSW","Ingalba","sider","sideroxylon","mellio","melliodorae"
"J367","Eucalyptus sideroxylon",-30.5285,151.15897,"Uralla-Kingstown Rd, Kingstown","Eucalyptus sideroxylon","NSW","Uralla","sider","sideroxylon","mellio","melliodorae"
"J385","Eucalyptus sideroxylon",-36.17434,146.66263,"Chiltern","Eucalyptus sideroxylon","VIC","Chiltern","sider","sideroxylon","mellio","melliodorae"
"J387","Eucalyptus sideroxylon",-32.24456,146.18248,"Warrangatta","Eucalyptus sideroxylon","VIC","Warrangatta","sider","sideroxylon","mellio","melliodorae"
"J401","Eucalyptus sideroxylon",-30.44023,151.25069,"Torreyburn Rd, Yarrowyck","Eucalyptus sideroxylon","NSW","Yarrowyck","sider","sideroxylon","mellio","melliodorae"
"J416","Eucalyptus sideroxylon",-30.32322,149.26971,"Weewaa","Eucalyptus sideroxylon","NSW","Weewaa","sider","sideroxylon","mellio","melliodorae"
"J418","Eucalyptus sideroxylon",-31.05012,149.23013,"The Pilliga","Eucalyptus sideroxylon","NSW","Pilliga","sider","sideroxylon","mellio","melliodorae"
"J421","Eucalyptus sideroxylon",-32.36597,148.23103,"Narromine","Eucalyptus sideroxylon","NSW","Narromine","sider","sideroxylon","mellio","melliodorae"
"J422","Eucalyptus sideroxylon",-32.22311,148.66797,"Dubbo","Eucalyptus sideroxylon","NSW","Dubbo","sider","sideroxylon","mellio","melliodorae"
"J362_young",NA,NA,NA,NA,NA,"NSW","Nangar","sider","sideroxylon","mellio","melliodorae"
"J353b",NA,NA,NA,NA,NA,"NSW","Blue Metal","sidXmic","sideroxylonXmicrocarpa","mellio","melliodorae"
"J367i",NA,NA,NA,NA,NA,"NSW","Uralla","sidXmol","sideroxylonXmoluccana","mellio","melliodorae"
"J392","Eucalyptus tricarpa",-37.00641,145.00121,"Puckapanyl","Eucalyptus tricarpa","VIC","Puckapanyl","tri","tricarpa","mellio","melliodorae"
"J333","Eucalyptus caleyi",-28.52431,151.10556,"Inglewood, Inglewood Texas Rd","Eucalyptus caleyi","QLD","Inglewood","cal","caleyi","rhodox","rhodoxylon"
"J368","Eucalyptus caleyi",-30.57301,151.09172,"Kingstwon-Retreat Rd, Kingstown","Eucalyptus caleyi","NSW","Kingstown","cal","caleyi","rhodox","rhodoxylon"
"J369","Eucalyptus caleyi",-30.07144,151.09796,"Thunderbolts Way, Bundarra","Eucalyptus caleyi","NSW","Bundarra","cal","caleyi","rhodox","rhodoxylon"
"J427","Eucalyptus caleyi",-30.36709,151.25757,"Bundarra","Eucalyptus caleyi","NSW","Bundarra","cal","caleyi","rhodox","rhodoxylon"
"J333a",NA,NA,NA,NA,NA,"QLD","Inglewood","cal","caleyi","rhodox","rhodoxylon"
