"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J428",7235370,1056264515,39.7,5735,1.6504133046875,384394157,31
"J425e",21179804,3095782819,40.8,21593,4.8371606546875,730624654,31
"J428a",7187650,1049347047,39.7,6003,1.6396047609375,385439089,31
"J426h",11055432,1618457060,40.7,11424,2.52883915625,525708738,31
"J426i",11290496,1659218987,40.4,11505,2.5925296671875,528584309,31
"J428f",7271616,1062764199,40.1,8169,1.6605690609375,393345219,31
"J428d",9381128,1373369336,40.1,5677,2.1458895875,479814682,31
"J428b",11941634,1750477057,40.1,12699,2.7351204015625,537541364,31
"J428e",9465452,1389090507,40.1,7984,2.1704539171875,494877920,31
"J428c",10647024,1553916302,40.2,8926,2.427994221875,503989889,31
"J429c",8098964,1187219738,39.8,7881,1.855030840625,416400000,31
"J429b",8268522,1207038168,40.1,6418,1.8859971375,427298519,31
"J429f",7553322,1098555775,40.1,6274,1.7164933984375,391697315,31
"J428i",11186154,1642846948,40,7149,2.56694835625,539445967,31
"J429d",10282318,1487798660,40,6915,2.32468540625,484282427,31
"J429",11508584,1686484330,40.5,9442,2.635131765625,561298028,31
"J429g",6791948,989559979,40,6837,1.5461874671875,369939379,31
"J429i",7936206,1162134435,40.4,7067,1.8158350546875,416851756,31
"J428h",13990964,2050337097,40.6,12598,3.2036517140625,667550816,31
