"sample","yield.mb","read.num","coverage"
"J433a",1655,5480079,2.5859375
"J433b",2050,6788654,3.203125
"J433c",2661,8811823,4.1578125
"J433d",2181,7221258,3.4078125
"J433e",1686,5581700,2.634375
"J433f",1936,6413630,3.025
"J433g",1828,6050871,2.85625
"J433h",1366,4521989,2.134375
"J434",1620,5362509,2.53125
"J434a",1468,4862933,2.29375
"J434b",2253,7457482,3.5203125
"J435",1735,5745120,2.7109375
"J435a",1956,6477809,3.05625
"J435b",1494,4946162,2.334375
"J435c",1509,4996318,2.3578125
"J435d",1949,6456353,3.0453125
"J435e",2006,6643645,3.134375
"J435f",1119,3705573,1.7484375
"J435g",1293,4282272,2.0203125
"J435h",1938,6415254,3.028125
"J435i",1654,5479137,2.584375
"J436",2213,7328984,3.4578125
"J436a",2273,7527635,3.5515625
"J436b",1095,3625639,1.7109375
"J436c",1512,5005831,2.3625
"J436c-rep",1204,3987116,1.88125
"J436d",1633,5407894,2.5515625
"J436e",1408,4660947,2.2
"J436f",1770,5861512,2.765625
"J436g",1414,4682225,2.209375
"J436h",1682,5569020,2.628125
"J436i",1532,5072776,2.39375
"J437",2025,6704712,3.1640625
"J438",1291,4274407,2.0171875
"M1c",270,893501,0.421875
"M2a",240,792601,0.375
"M2b",111,368842,0.1734375
"NAL05",574,1897936,0.896875
"NBJ30",661,2189341,1.0328125
"NCD30",571,1890524,0.8921875
"NCR13",863,2856266,1.3484375
"NDU10",572,1896410,0.89375
"NE10467",23,74547,0.0359375
"NE25923",31,101254,0.0484375
"NE25953",25,81412,0.0390625
"NE35955",15,51066,0.0234375
"NE35959",23,75883,0.0359375
"NE36811",29,97921,0.0453125
"NE37169",23,74506,0.0359375
"NE37647",17,58332,0.0265625
"NE4583",25,81745,0.0390625
"NE67754",18,58701,0.028125
"NE90535",81,268324,0.1265625
"RA1006_S170",2156,7140916,3.36875
"RA1006_S71",2218,7346337,3.465625
"RA1007",1701,5631146,2.6578125
"TLC715",1843,6100387,2.8796875
"TLC720",2264,7496125,3.5375
"TLC725",2834,9383661,4.428125
"TLC726",1766,5849089,2.759375
"TLC775",1854,6140584,2.896875
"VMA18_S117",422,1400065,0.659375
"VMA18_S67",683,2260868,1.0671875
"VWG14_S110",102,340658,0.159375
"VWG14_S87",377,1248129,0.5890625
